condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation,ideal_found,first_ideal_generation
problem2_3bit_pop50_t2,0,50900,-133.13300000000004,-143.69300000000004,-133.13300000000004,45024.0,882.8235294117648,53550.0,1050.0,0.1592156862745098,0,-1
problem2_3bit_pop50_t2,1,50901,-133.13300000000004,-133.13300000000004,-123.88176000000001,33978.0,666.2352941176471,53550.0,1050.0,0.3654901960784313,0,-1
problem2_3bit_pop50_t2,2,50902,-134.68176000000003,-135.19247040000005,-134.68176000000003,47250.0,926.4705882352941,53550.0,1050.0,0.11764705882352941,0,-1
problem2_3bit_pop50_t2,3,50903,-89.13300000000002,-91.11300000000003,-89.13300000000002,25011.0,490.4117647058824,53550.0,1050.0,0.5329411764705883,0,-1
problem2_3bit_pop50_t2,4,50904,-134.68176000000003,-135.16589520000005,-134.68176000000003,43302.0,849.0588235294117,53550.0,1050.0,0.19137254901960787,0,-1
problem2_3bit_pop50_t2,5,50905,-111.13300000000002,-111.13300000000001,-103.16928000000003,38850.0,761.7647058823529,53550.0,1050.0,0.27450980392156865,0,-1
problem2_3bit_pop50_t2,6,50906,-145.48176000000004,-145.48176,-145.48176000000004,50211.0,984.5294117647059,53550.0,1050.0,0.06235294117647062,0,-1
problem2_3bit_pop50_t2,7,50907,-145.48176000000004,-145.48176,-134.68176000000003,49686.0,974.2352941176471,53550.0,1050.0,0.07215686274509805,0,-1
problem2_3bit_pop50_t2,8,50908,-111.13300000000002,-111.13300000000001,-95.81008000000003,38262.0,750.2352941176471,53550.0,1050.0,0.28549019607843135,0,-1
problem2_3bit_pop50_t2,9,50909,-134.68176000000003,-134.89776000000006,-134.68176000000003,46389.0,909.5882352941177,53550.0,1050.0,0.1337254901960784,0,-1
