run,best_of_run_fitness,generation_of_best
0,-133.13300000000004,49
1,-123.88176000000001,13
2,-134.68176000000003,0
3,-89.13300000000002,29
4,-134.68176000000003,0
5,-103.16928000000003,19
6,-145.48176000000004,0
7,-134.68176000000003,0
8,-95.81008000000003,39
9,-134.68176000000003,8
