condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
15bit_L10_soft15max,0,20500,14.4,14.078333333333333,14.4,0,-1
15bit_L10_soft15max,1,20501,14.5,14.144,14.5,0,-1
15bit_L10_soft15max,2,20502,14.7,14.437999999999999,14.7,0,-1
15bit_L10_soft15max,3,20503,14.4,14.149333333333331,14.4,0,-1
15bit_L10_soft15max,4,20504,14.5,14.090333333333332,14.5,0,-1
15bit_L10_soft15max,5,20505,14.5,14.205,14.5,0,-1
15bit_L10_soft15max,6,20506,14.5,14.134333333333334,14.5,0,-1
15bit_L10_soft15max,7,20507,14.7,14.527333333333337,14.7,0,-1
15bit_L10_soft15max,8,20508,14.4,14.119,14.4,0,-1
15bit_L10_soft15max,9,20509,14.3,14.032000000000002,14.3,0,-1
