condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L10_soft15max,0,20100,15.0,14.933333333333334,15.0,1,25
4bit_L10_soft15max,1,20101,15.0,14.941333333333333,15.0,1,19
4bit_L10_soft15max,2,20102,15.0,14.957999999999998,15.0,1,15
4bit_L10_soft15max,3,20103,15.0,14.913666666666668,15.0,1,18
4bit_L10_soft15max,4,20104,15.0,14.927000000000001,15.0,1,19
4bit_L10_soft15max,5,20105,15.0,14.95,15.0,1,17
4bit_L10_soft15max,6,20106,15.0,14.953333333333333,15.0,1,23
4bit_L10_soft15max,7,20107,15.0,14.964333333333334,15.0,1,25
4bit_L10_soft15max,8,20108,15.0,14.929333333333334,15.0,1,25
4bit_L10_soft15max,9,20109,15.0,14.946333333333332,15.0,1,24
