condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
pc0.20_pmop0.20_pbf0.50,0,13600,24.0,23.68,24.0,0,-1
pc0.20_pmop0.20_pbf0.50,1,13601,26.0,24.785,26.0,0,-1
pc0.20_pmop0.20_pbf0.50,2,13602,24.0,22.48,24.0,0,-1
