condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L30_15max,0,20200,28.0,27.843333333333334,28.0,0,-1
4bit_L30_15max,1,20201,29.0,28.106666666666666,29.0,0,-1
4bit_L30_15max,2,20202,28.0,27.883333333333333,28.0,0,-1
4bit_L30_15max,3,20203,28.0,26.456666666666667,28.0,0,-1
4bit_L30_15max,4,20204,28.0,27.846666666666668,28.0,0,-1
4bit_L30_15max,5,20205,29.0,27.803333333333335,29.0,0,-1
4bit_L30_15max,6,20206,26.0,25.67,26.0,0,-1
4bit_L30_15max,7,20207,29.0,27.923333333333332,29.0,0,-1
4bit_L30_15max,8,20208,28.0,26.81,28.0,0,-1
4bit_L30_15max,9,20209,30.0,28.87,30.0,1,48
