condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation,ideal_found,first_ideal_generation
7bit_problem2,0,40300,-66.93124000000002,-73.50837340000001,-66.93124000000002,148974.0,2921.0588235294117,214200.0,4200.0,0.3045098039215686,0,-1
7bit_problem2,1,40301,-80.41008000000002,-84.1840524,-80.41008000000002,162687.0,3189.9411764705883,214200.0,4200.0,0.2404901960784314,0,-1
7bit_problem2,2,40302,-78.21184000000002,-81.69543240000003,-78.21184000000002,138726.0,2720.1176470588234,214200.0,4200.0,0.35235294117647065,0,-1
7bit_problem2,3,40303,-100.13300000000002,-103.85643980000003,-100.13300000000002,140658.0,2758.0,214200.0,4200.0,0.34333333333333327,0,-1
7bit_problem2,4,40304,-122.13300000000002,-122.48523140000002,-122.13300000000002,186732.0,3661.4117647058824,214200.0,4200.0,0.12823529411764706,0,-1
7bit_problem2,5,40305,-65.16352000000002,-70.27330180000003,-65.16352000000002,131670.0,2581.764705882353,214200.0,4200.0,0.38529411764705884,0,-1
7bit_problem2,6,40306,-69.93248000000001,-78.94316460000003,-69.93248000000001,163086.0,3197.764705882353,214200.0,4200.0,0.2386274509803922,0,-1
7bit_problem2,7,40307,-89.13300000000002,-93.64158660000001,-81.86640000000003,184212.0,3612.0,214200.0,4200.0,0.13999999999999999,0,-1
7bit_problem2,8,40308,-91.16016000000002,-95.79668360000001,-91.16016000000002,133140.0,2610.5882352941176,214200.0,4200.0,0.37843137254901954,0,-1
7bit_problem2,9,40309,-84.16020000000003,-88.20524480000003,-74.54352000000003,136563.0,2677.705882352941,214200.0,4200.0,0.36245098039215684,0,-1
