generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,-133.13300000000004,-155.07822680000004,6.962973085808799,147,4200.0,4200.0,21.0,200.0,0.0,0.12366666666666666,0.11933333333333333,0.12483333333333334,0.12533333333333332,0.12366666666666666,0.13016666666666668,0.12316666666666666,0.12983333333333333
1,-133.13300000000004,-150.42037800000006,6.9941199870070845,38,3948.0,4200.0,21.0,188.0,0.06000000000000005,0.11183333333333334,0.11816666666666667,0.13283333333333333,0.13,0.12416666666666666,0.1405,0.11516666666666667,0.12733333333333333
2,-123.88176000000001,-144.94066380000004,7.495687865359496,28,3906.0,4200.0,21.0,186.0,0.06999999999999995,0.103,0.12266666666666666,0.14166666666666666,0.14316666666666666,0.124,0.148,0.09216666666666666,0.12533333333333332
3,-113.23728000000003,-141.32227840000004,7.623477466638796,109,4032.0,4200.0,21.0,192.0,0.040000000000000036,0.11116666666666666,0.12666666666666668,0.14233333333333334,0.15816666666666668,0.11733333333333333,0.138,0.087,0.11933333333333333
4,-113.23728000000003,-137.87313240000003,7.993926927447251,40,3675.0,4200.0,21.0,175.0,0.125,0.12416666666666666,0.12133333333333333,0.144,0.15883333333333333,0.112,0.13516666666666666,0.08016666666666666,0.12433333333333334
5,-102.86640000000003,-137.2501252,9.831694932306482,100,3654.0,4200.0,21.0,174.0,0.13,0.1335,0.124,0.149,0.14916666666666667,0.11583333333333333,0.13333333333333333,0.07683333333333334,0.11833333333333333
6,-122.13300000000002,-135.99469040000002,9.401987379312729,1,3423.0,4200.0,21.0,163.0,0.18500000000000005,0.14316666666666666,0.14233333333333334,0.13633333333333333,0.14083333333333334,0.12816666666666668,0.11616666666666667,0.072,0.121
7,-100.13300000000002,-136.32780520000003,10.866066185877065,20,3381.0,4200.0,21.0,161.0,0.19499999999999995,0.143,0.14466666666666667,0.14366666666666666,0.14516666666666667,0.125,0.10716666666666666,0.078,0.11333333333333333
8,-100.13300000000002,-135.12583500000005,11.88094238286976,51,3549.0,4200.0,21.0,169.0,0.15500000000000003,0.13366666666666666,0.14633333333333334,0.15583333333333332,0.15116666666666667,0.134,0.096,0.07333333333333333,0.10966666666666666
9,-100.13300000000002,-132.849081,13.809201909912357,3,3528.0,4200.0,21.0,168.0,0.16000000000000003,0.13216666666666665,0.14683333333333334,0.182,0.15966666666666668,0.12533333333333332,0.08733333333333333,0.06916666666666667,0.0975
10,-100.13300000000002,-130.00914920000002,15.779649075390093,3,3297.0,4200.0,21.0,157.0,0.21499999999999997,0.12333333333333334,0.157,0.20683333333333334,0.16783333333333333,0.11683333333333333,0.07683333333333334,0.06483333333333334,0.0865
