condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop50_t3,0,50100,10.0,9.76,10.0,1658.0,32.509803921568626,5100.0,100.0,0.6749019607843136
problem1_3bit_pop50_t3,1,50101,14.0,13.72,14.0,3092.0,60.627450980392155,5100.0,100.0,0.3937254901960784
problem1_3bit_pop50_t3,2,50102,14.0,13.52,14.0,1514.0,29.686274509803923,5100.0,100.0,0.7031372549019608
problem1_3bit_pop50_t3,3,50103,12.0,11.4,12.0,2194.0,43.01960784313726,5100.0,100.0,0.5698039215686275
problem1_3bit_pop50_t3,4,50104,16.0,14.44,16.0,1734.0,34.0,5100.0,100.0,0.66
problem1_3bit_pop50_t3,5,50105,10.0,9.84,10.0,1986.0,38.94117647058823,5100.0,100.0,0.6105882352941177
problem1_3bit_pop50_t3,6,50106,22.0,19.56,22.0,2504.0,49.09803921568628,5100.0,100.0,0.5090196078431373
problem1_3bit_pop50_t3,7,50107,10.0,9.8,10.0,3268.0,64.07843137254902,5100.0,100.0,0.3592156862745097
problem1_3bit_pop50_t3,8,50108,10.0,9.68,10.0,2882.0,56.509803921568626,5100.0,100.0,0.4349019607843137
problem1_3bit_pop50_t3,9,50109,16.0,15.44,16.0,2192.0,42.98039215686274,5100.0,100.0,0.5701960784313725
