run,best_of_run_fitness,generation_of_best
0,-91.16016000000002,45
1,-133.13300000000004,47
2,-89.13300000000002,7
3,-100.13300000000002,26
4,-103.16928000000003,49
5,-133.13300000000004,25
6,-133.13300000000004,41
7,-95.16640000000002,45
8,-101.96016000000003,47
9,-89.13300000000002,40
