generation,best_fitness,mean_fitness,std_fitness,best_index
0,11.0,7.5435,1.383241753996748,96
1,11.0,8.175,1.2593946958757607,58
2,11.3,8.839,1.121106150192746,32
3,12.0,9.378,1.0356717626738696,142
4,12.2,9.9405,0.9881850788187402,35
5,12.6,10.372,0.9277478105606071,113
6,13.3,10.966,0.8524928152189907,48
7,13.1,11.3795,0.7243132954737196,155
8,13.8,11.78,0.7202777242147643,96
9,13.9,12.187999999999999,0.7317485907058516,159
10,14.4,12.543999999999999,0.6875056363405321,28
11,14.4,12.823999999999998,0.5427927781391347,12
12,14.4,13.155,0.4939382552505931,76
13,14.5,13.391000000000002,0.49499393935683694,22
14,14.6,13.624499999999998,0.5212002973905523,80
15,14.7,13.8935,0.40088371131788336,68
16,14.6,14.058499999999999,0.33664187202426266,9
17,14.7,14.218499999999999,0.3209482045439731,8
18,14.8,14.3375,0.25523273692847465,100
19,14.8,14.4475,0.23020371413163593,58
20,14.9,14.546,0.20563073700203463,100
21,14.9,14.6355,0.15423926218703207,11
22,14.9,14.690999999999999,0.1609937887000615,16
23,14.9,14.7515,0.12040660280898247,0
24,14.9,14.796000000000003,0.12322337440599504,4
25,15.0,14.823000000000002,0.1325556486914082,95
26,15.0,14.837000000000003,0.22897816489787848,6
27,15.0,14.883500000000003,0.09261614330126257,2
28,15.0,14.891000000000004,0.14805066700288796,2
29,15.0,14.905500000000002,0.10305217125320557,2
30,15.0,14.933000000000002,0.0883798619596115,2
31,15.0,14.9565,0.12106919509107178,0
32,15.0,14.985999999999999,0.05834380858325923,1
33,15.0,14.975,0.12399596767637248,0
34,15.0,14.971999999999998,0.16587947431795172,0
35,15.0,14.976499999999998,0.1455944710488692,0
36,15.0,14.979000000000001,0.14162979912433682,0
37,15.0,14.984499999999999,0.10202818238114417,0
38,15.0,14.958499999999999,0.17727873532942412,0
39,15.0,14.988499999999998,0.07692691336586964,0
40,15.0,14.982999999999999,0.10540872829135177,0
41,15.0,14.986500000000001,0.08926225406071714,0
42,15.0,14.979000000000001,0.12790230646864817,0
43,15.0,14.9795,0.1180243618919417,0
44,15.0,14.9855,0.1011916498531377,0
45,15.0,14.9755,0.12786614094434856,0
46,15.0,14.982999999999999,0.09492628719169424,0
47,15.0,14.985,0.09313968005098588,0
48,15.0,14.984499999999999,0.1010433075468138,0
49,15.0,14.964,0.19210413842496993,0
50,15.0,14.97,0.14628738838327798,0
