generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std,execute_calls_mean,execute_calls_std,execute_calls_nominal_mean,execute_calls_nominal_std,fitness_cases_mean,fitness_cases_std,unique_programs_mean,unique_programs_std,duplicate_ratio_mean,duplicate_ratio_std,freq_NOP_mean,freq_NOP_std,freq_X_mean,freq_X_std,freq_+_mean,freq_+_std,freq_-_mean,freq_-_std,freq_*_mean,freq_*_std,freq_1_mean,freq_1_std,freq_-1_mean,freq_-1_std,freq_0_mean,freq_0_std
0,0.0,0.0,-135.21942400000003,1.2247364142867583,-155.68495730666672,0.441658992247541,6.644314669963594,1.6553618576312301,140.0,77.82994282408282,6300.0,0.0,6300.0,0.0,21.0,0.0,300.0,0.0,0.0,0.0,0.007333333333333333,0.00046481112585226414,0.05404444444444445,0.0025635141775054806,0.1640888888888889,0.0068661812126133434,0.2678,0.004314345865471807,0.2758222222222222,0.006338009969254554,0.16913333333333333,0.002615716977932052,0.053488888888888884,0.002220276926338161,0.008288888888888889,0.0012971954553507798
1,1.0,0.0,-133.74450400000003,0.8374557548193207,-153.27606736000004,0.3764796284779552,5.133641040025428,0.442266100074365,122.2,139.70576222905052,6069.0,91.53687781435414,6300.0,0.0,21.0,0.0,289.0,4.358898943540675,0.03666666666666667,0.014529663145135596,0.006844444444444445,0.0009800478698311086,0.05675555555555556,0.003340178157442624,0.16526666666666667,0.0103686969549317,0.2666,0.006681742213850023,0.27417777777777774,0.009880333377691322,0.17264444444444443,0.0025427213962141803,0.049555555555555554,0.001414213562373096,0.008155555555555555,0.0018931324880430193
2,2.0,0.0,-133.43475200000003,7.807385692248082,-151.36580589333337,0.31664194591566946,5.839825210049976,0.7868484010211662,133.0,116.97649336512016,6006.0,72.74613391789285,6300.0,0.0,21.0,0.0,286.0,3.46410161513776,0.046666666666666676,0.011547005383792495,0.006977777777777777,0.0012257524773796986,0.063,0.005413175513116346,0.16611111111111113,0.009794493287834357,0.266,0.008400102880028418,0.2705111111111111,0.014538921793364898,0.17133333333333334,0.004760952285695228,0.047888888888888884,0.002910177967490843,0.008177777777777779,0.002364344191692513
3,3.0,0.0,-131.21843200000004,8.87850511815587,-149.0226751466667,0.8549670558054425,6.2288980186161504,1.105969619233286,65.8,71.11750839280016,6022.8,90.81134290384657,6300.0,0.0,21.0,0.0,286.8,4.324349662087932,0.044,0.014414498873626424,0.007755555555555555,0.001075541781362672,0.07295555555555555,0.007917631520151019,0.1626,0.013077782497875102,0.26453333333333334,0.01163684018033746,0.2664,0.01715337493337501,0.1704,0.006416414136444942,0.0474,0.005583043110201676,0.007955555555555556,0.002247907119912451
4,4.0,0.0,-125.17471200000004,10.897334641806692,-146.86431685333338,0.8345954877075179,6.222601752815734,1.465525572038043,106.8,45.46647116282503,6077.4,23.943683927081928,6300.0,0.0,21.0,0.0,289.4,1.1401754250991383,0.03533333333333333,0.0038005847503304554,0.0078,0.0011369224215365768,0.0816,0.009010487716482881,0.16586666666666666,0.011378559000957533,0.2655333333333333,0.015734172921728816,0.26164444444444446,0.017321292113864593,0.16462222222222223,0.008373827539083962,0.04524444444444445,0.008318653737234168,0.007688888888888888,0.002062899792902107
5,5.0,0.0,-121.73140000000004,13.5365005102205,-145.1751998666667,1.3679190381979789,6.1511992925728745,1.961803960656931,124.8,89.68110168814832,5993.4,65.74039853849385,6300.0,0.0,21.0,0.0,285.4,3.1304951684997095,0.04866666666666668,0.010434983894999037,0.008644444444444444,0.0017871281880418722,0.08586666666666667,0.009740268964775705,0.1701777777777778,0.011828663658698616,0.2645777777777778,0.011573010321486556,0.2528666666666667,0.0169453369528152,0.16293333333333332,0.009588315934987532,0.04624444444444444,0.00844422514335122,0.008688888888888888,0.0027793328980215185
6,6.0,0.0,-116.80133600000003,12.488156586577539,-144.3599049866667,1.9061743107645455,6.799349887051406,2.8385995497594316,104.0,82.09141246196218,6022.8,58.272635087148785,6300.0,0.0,21.0,0.0,286.8,2.774887385102321,0.044,0.009249624617007754,0.009311111111111112,0.002948529660779051,0.09124444444444445,0.010874820844274252,0.17033333333333334,0.011691771930045409,0.25953333333333334,0.012841724048709736,0.2518444444444444,0.024219877562361925,0.1606,0.013800071568968113,0.04817777777777778,0.010296709290944473,0.008955555555555555,0.0026206680893558236
7,7.0,0.0,-115.03470400000003,10.712293344474837,-143.16398712000003,2.586878080227363,7.349961054657288,2.023077337133447,109.8,84.64159733842456,5909.4,64.04139286430303,6300.0,0.0,21.0,0.0,281.4,3.0495901363953797,0.061999999999999986,0.01016530045465126,0.0106,0.004461495071341549,0.09346666666666667,0.010718162731815513,0.17246666666666668,0.014291800290920519,0.2489333333333333,0.015637206343277,0.25531111111111116,0.026398232264048797,0.16226666666666667,0.0147766499151888,0.04768888888888889,0.013256584667139462,0.009266666666666668,0.0024198255217175377
8,8.0,0.0,-109.35385600000004,19.75855022170605,-141.48511610666668,3.2198071793168097,7.2196548003814645,2.5696213769190837,103.8,92.53755994189603,5888.4,122.98902390050914,6300.0,0.0,21.0,0.0,280.4,5.856620185738525,0.06533333333333333,0.0195220672857951,0.01188888888888889,0.005679180083405798,0.09604444444444445,0.009454439155924928,0.17528888888888888,0.018279820892225723,0.24004444444444445,0.02661077476011048,0.25704444444444446,0.03234474788971747,0.16297777777777778,0.015546505303781093,0.04871111111111111,0.01614509825088916,0.008,0.0025543475405716996
9,9.0,0.0,-109.35385600000002,18.163157954047527,-140.4402066666667,3.7104311398695424,8.42207293633315,3.81636744635194,134.8,96.54636192006409,5754.0,102.87856919689348,6300.0,0.0,21.0,0.0,274.0,4.898979485566359,0.0866666666666667,0.016329931618554536,0.01168888888888889,0.007051573679543077,0.10093333333333335,0.009975463725722725,0.17755555555555555,0.023471285319894626,0.2325111111111111,0.03047277675986862,0.2515777777777778,0.03760010506946181,0.16648888888888888,0.02025403480608064,0.0512888888888889,0.01729457918354195,0.007955555555555554,0.0032778719383838723
