generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,-134.68176000000003,-154.594208,6.284715371538155,44,1050.0,1050.0,21.0,50.0,0.0,0.128,0.12733333333333333,0.12133333333333333,0.12533333333333332,0.12266666666666666,0.12866666666666668,0.118,0.12866666666666668
1,-144.13300000000004,-152.69381280000002,5.424265819760321,11,1029.0,1050.0,21.0,49.0,0.020000000000000018,0.12133333333333333,0.12933333333333333,0.136,0.10866666666666666,0.13466666666666666,0.13866666666666666,0.11,0.12133333333333333
2,-139.45376000000005,-149.2452504,5.076445741953303,22,1008.0,1050.0,21.0,48.0,0.040000000000000036,0.11133333333333334,0.12933333333333333,0.13533333333333333,0.09066666666666667,0.14733333333333334,0.15933333333333333,0.118,0.10866666666666666
3,-145.48176000000004,-146.90947680000002,3.4081480740586603,0,987.0,1050.0,21.0,47.0,0.06000000000000005,0.112,0.12333333333333334,0.138,0.07733333333333334,0.16533333333333333,0.14866666666666667,0.122,0.11333333333333333
4,-145.48176000000004,-145.8678096,1.891249070811098,0,1008.0,1050.0,21.0,48.0,0.040000000000000036,0.106,0.12866666666666668,0.12266666666666666,0.086,0.15066666666666667,0.14266666666666666,0.142,0.12133333333333333
5,-145.48176000000004,-145.69776000000002,1.5119999999999973,0,1008.0,1050.0,21.0,48.0,0.040000000000000036,0.08666666666666667,0.12333333333333334,0.14066666666666666,0.08933333333333333,0.15266666666666667,0.13466666666666666,0.15066666666666667,0.122
6,-134.68176000000003,-145.26576,1.5120000000000016,47,1008.0,1050.0,21.0,48.0,0.040000000000000036,0.08866666666666667,0.12266666666666666,0.14866666666666667,0.088,0.14866666666666667,0.13866666666666666,0.14866666666666667,0.116
7,-145.48176000000004,-145.56087040000003,0.553772800000001,0,924.0,1050.0,21.0,44.0,0.12,0.09066666666666667,0.11466666666666667,0.17,0.08666666666666667,0.15466666666666667,0.14066666666666666,0.136,0.10666666666666667
8,-145.48176000000004,-145.48176,2.842170943040401e-14,0,987.0,1050.0,21.0,47.0,0.06000000000000005,0.09,0.11333333333333333,0.16933333333333334,0.09066666666666667,0.142,0.16,0.13333333333333333,0.10133333333333333
9,-145.48176000000004,-145.48176,2.842170943040401e-14,0,945.0,1050.0,21.0,45.0,0.09999999999999998,0.09266666666666666,0.112,0.15533333333333332,0.10866666666666666,0.13866666666666666,0.162,0.13,0.10066666666666667
10,-145.48176000000004,-145.48176,2.842170943040401e-14,0,987.0,1050.0,21.0,47.0,0.06000000000000005,0.10666666666666667,0.11133333333333334,0.15533333333333332,0.11333333333333333,0.13266666666666665,0.17066666666666666,0.11533333333333333,0.09466666666666666
11,-145.48176000000004,-145.6947848,1.4911736000000007,0,987.0,1050.0,21.0,47.0,0.06000000000000005,0.108,0.10533333333333333,0.16133333333333333,0.11933333333333333,0.13466666666666666,0.16466666666666666,0.11,0.09666666666666666
12,-145.48176000000004,-145.48176,2.842170943040401e-14,0,966.0,1050.0,21.0,46.0,0.07999999999999996,0.10466666666666667,0.11266666666666666,0.162,0.118,0.13333333333333333,0.15866666666666668,0.10466666666666667,0.106
13,-145.48176000000004,-145.48176,2.842170943040401e-14,0,966.0,1050.0,21.0,46.0,0.07999999999999996,0.10666666666666667,0.11,0.16866666666666666,0.11866666666666667,0.13266666666666665,0.15066666666666667,0.1,0.11266666666666666
14,-145.48176000000004,-145.48176,2.842170943040401e-14,0,924.0,1050.0,21.0,44.0,0.12,0.106,0.096,0.162,0.118,0.13533333333333333,0.15266666666666667,0.11533333333333333,0.11466666666666667
