condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L10_soft15trap_int,0,30000,14.9,14.831000000000003,14.9,0,-1
4bit_L10_soft15trap_int,1,30001,14.7,14.663499999999999,14.7,0,-1
4bit_L10_soft15trap_int,2,30002,14.7,14.619499999999999,14.7,0,-1
4bit_L10_soft15trap_int,3,30003,14.6,14.587999999999997,14.6,0,-1
4bit_L10_soft15trap_int,4,30004,14.8,14.733500000000003,14.8,0,-1
4bit_L10_soft15trap_int,5,30005,14.7,14.656999999999998,14.7,0,-1
4bit_L10_soft15trap_int,6,30006,14.8,14.767000000000003,14.8,0,-1
4bit_L10_soft15trap_int,7,30007,14.8,14.796000000000003,14.8,0,-1
4bit_L10_soft15trap_int,8,30008,14.9,14.794500000000003,14.9,0,-1
4bit_L10_soft15trap_int,9,30009,14.7,14.634499999999997,14.7,0,-1
