condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L10_trap,0,30000,10.0,9.92,10.0,1,28
4bit_L10_trap,1,30001,10.0,9.91125,10.0,1,21
4bit_L10_trap,2,30002,9.75,9.69,9.75,0,-1
4bit_L10_trap,3,30003,10.0,9.8875,10.0,1,24
4bit_L10_trap,4,30004,10.0,9.87125,10.0,1,17
4bit_L10_trap,5,30005,10.0,9.85625,10.0,1,22
4bit_L10_trap,6,30006,9.25,9.14125,9.25,0,-1
4bit_L10_trap,7,30007,9.25,9.19375,9.5,0,-1
4bit_L10_trap,8,30008,9.75,9.60625,9.75,0,-1
4bit_L10_trap,9,30009,9.75,9.65625,9.75,0,-1
