condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop100_t2,0,50300,14.0,13.56,14.0,7056.0,138.35294117647058,10200.0,200.0,0.30823529411764705
problem1_3bit_pop100_t2,1,50301,10.0,9.94,12.0,8748.0,171.52941176470588,10200.0,200.0,0.14235294117647057
problem1_3bit_pop100_t2,2,50302,18.0,15.2,20.0,7684.0,150.66666666666666,10200.0,200.0,0.24666666666666667
problem1_3bit_pop100_t2,3,50303,16.0,15.52,16.0,5660.0,110.98039215686275,10200.0,200.0,0.4450980392156863
problem1_3bit_pop100_t2,4,50304,28.0,24.0,28.0,4466.0,87.56862745098039,10200.0,200.0,0.5621568627450981
problem1_3bit_pop100_t2,5,50305,6.0,3.92,6.0,9438.0,185.05882352941177,10200.0,200.0,0.07470588235294119
problem1_3bit_pop100_t2,6,50306,8.0,3.98,8.0,8944.0,175.37254901960785,10200.0,200.0,0.12313725490196079
problem1_3bit_pop100_t2,7,50307,8.0,7.92,8.0,8634.0,169.2941176470588,10200.0,200.0,0.1535294117647059
problem1_3bit_pop100_t2,8,50308,8.0,7.82,10.0,7834.0,153.6078431372549,10200.0,200.0,0.23196078431372547
problem1_3bit_pop100_t2,9,50309,20.0,17.64,20.0,5596.0,109.72549019607843,10200.0,200.0,0.4513725490196078
