run,best_of_run_fitness,generation_of_best
0,-139.40836000000002,2
1,-133.13300000000004,6
2,-133.13300000000004,0
3,-103.16928000000003,14
4,-89.13300000000002,29
5,-113.23728000000003,49
6,-52.59780000000001,39
7,-144.13300000000004,0
8,-133.13300000000004,16
9,-102.73728000000003,47
