generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,4.0,0.52,1.2843675486401858,1,200.0,200.0,2.0,100.0,0.0,0.11266666666666666,0.12433333333333334,0.13266666666666665,0.12766666666666668,0.128,0.135,0.126,0.11366666666666667
1,6.0,1.34,1.3580868897091969,47,190.0,200.0,2.0,95.0,0.050000000000000044,0.12166666666666667,0.12266666666666666,0.13133333333333333,0.136,0.11566666666666667,0.13666666666666666,0.12433333333333334,0.11166666666666666
2,6.0,2.32,1.377534028617805,17,178.0,200.0,2.0,89.0,0.10999999999999999,0.12366666666666666,0.13733333333333334,0.12266666666666666,0.13,0.101,0.13,0.13266666666666665,0.12266666666666666
3,6.0,3.62,1.713359273474189,1,182.0,200.0,2.0,91.0,0.08999999999999997,0.12933333333333333,0.153,0.123,0.12533333333333332,0.10333333333333333,0.135,0.114,0.117
4,6.0,4.86,1.5557634781675522,0,166.0,200.0,2.0,83.0,0.17000000000000004,0.12733333333333333,0.162,0.12666666666666668,0.13033333333333333,0.11033333333333334,0.11933333333333333,0.093,0.131
5,8.0,5.64,1.3078226179417456,29,154.0,200.0,2.0,77.0,0.22999999999999998,0.13233333333333333,0.17533333333333334,0.12033333333333333,0.12833333333333333,0.11133333333333334,0.10566666666666667,0.089,0.13766666666666666
6,8.0,5.84,0.7838367176906169,58,156.0,200.0,2.0,78.0,0.21999999999999997,0.13633333333333333,0.175,0.11433333333333333,0.12966666666666668,0.11966666666666667,0.10333333333333333,0.09066666666666667,0.131
7,8.0,6.0,0.6928203230275509,69,168.0,200.0,2.0,84.0,0.16000000000000003,0.13733333333333334,0.17533333333333334,0.11266666666666666,0.127,0.12266666666666666,0.10466666666666667,0.09,0.13033333333333333
8,8.0,5.7,1.1789826122551599,28,174.0,200.0,2.0,87.0,0.13,0.139,0.177,0.11233333333333333,0.123,0.12333333333333334,0.106,0.08366666666666667,0.13566666666666666
9,8.0,6.02,0.19899748742132398,83,170.0,200.0,2.0,85.0,0.15000000000000002,0.134,0.17666666666666667,0.11233333333333333,0.12866666666666668,0.12566666666666668,0.10333333333333333,0.07766666666666666,0.14166666666666666
