run,best_of_run_fitness,generation_of_best
0,-71.63728000000002,45
1,-86.05156000000002,41
2,-35.722080000000005,42
3,-71.57164000000002,43
4,-80.41008000000002,28
5,-80.61008000000002,42
6,-50.491560000000014,48
7,-133.13300000000004,0
8,-113.23728000000003,0
9,-102.73728000000003,30
