condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
15bit_L10_soft15trap_int,0,30200,13.2,12.911000000000001,13.2,0,-1
15bit_L10_soft15trap_int,1,30201,12.7,12.47,12.7,0,-1
15bit_L10_soft15trap_int,2,30202,12.9,12.69,12.9,0,-1
15bit_L10_soft15trap_int,3,30203,12.9,12.714,12.9,0,-1
15bit_L10_soft15trap_int,4,30204,12.6,12.4935,12.7,0,-1
15bit_L10_soft15trap_int,5,30205,13.0,12.808000000000002,13.0,0,-1
15bit_L10_soft15trap_int,6,30206,12.8,12.591999999999999,12.8,0,-1
15bit_L10_soft15trap_int,7,30207,13.1,12.937000000000003,13.2,0,-1
15bit_L10_soft15trap_int,8,30208,13.3,13.0755,13.3,0,-1
15bit_L10_soft15trap_int,9,30209,12.9,12.606,12.9,0,-1
