condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop200_t2,0,50600,16.0,15.55,18.0,11354.0,222.62745098039215,20400.0,400.0,0.4434313725490197
problem1_3bit_pop200_t2,1,50601,22.0,19.78,22.0,16818.0,329.7647058823529,20400.0,400.0,0.17558823529411768
problem1_3bit_pop200_t2,2,50602,20.0,16.64,22.0,15298.0,299.96078431372547,20400.0,400.0,0.25009803921568624
problem1_3bit_pop200_t2,3,50603,20.0,17.35,20.0,13706.0,268.7450980392157,20400.0,400.0,0.32813725490196083
problem1_3bit_pop200_t2,4,50604,12.0,11.68,12.0,17090.0,335.0980392156863,20400.0,400.0,0.1622549019607843
problem1_3bit_pop200_t2,5,50605,22.0,21.07,24.0,16388.0,321.3333333333333,20400.0,400.0,0.19666666666666666
problem1_3bit_pop200_t2,6,50606,28.0,21.32,32.0,15052.0,295.1372549019608,20400.0,400.0,0.26215686274509803
problem1_3bit_pop200_t2,7,50607,34.0,30.16,34.0,14848.0,291.1372549019608,20400.0,400.0,0.27215686274509804
problem1_3bit_pop200_t2,8,50608,8.0,6.0,8.0,18656.0,365.80392156862746,20400.0,400.0,0.08549019607843136
problem1_3bit_pop200_t2,9,50609,38.0,35.33,38.0,11588.0,227.2156862745098,20400.0,400.0,0.43196078431372553
