generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std
0,0.0,0.0,5.2,1.0954451150103324,2.12,0.2489979919597748,1.352186336591006,0.24390600427366077,10.4,5.639148871948674
1,1.0,0.0,6.0,1.224744871391589,3.91,0.5200961449578334,1.0902152048476217,0.21485694984994674,4.4,3.0495901363953815
2,2.0,0.0,6.4,1.140175425099138,5.34,0.9489467845985886,0.8084410782991014,0.3715222451593343,1.6,2.6076809620810595
3,3.0,0.0,7.2,1.6431676725154984,6.1,1.2389511693363868,0.5800885222071142,0.23847774110901446,7.4,7.861297602813418
4,4.0,0.0,7.6,1.51657508881031,6.659999999999999,1.2890888254887634,0.5669772243205947,0.3767240818916976,3.2,6.610597552415364
5,5.0,0.0,7.6,1.51657508881031,7.26,1.5942866743468687,0.37831673828533835,0.2642830999447913,0.4,0.5477225575051662
6,6.0,0.0,7.6,1.51657508881031,7.5600000000000005,1.5039115665490443,0.14717797887081346,0.13846769720544205,0.0,0.0
7,7.0,0.0,7.8,1.3038404810405297,7.62,1.4906374475371267,0.12489995996796796,0.2792848008753788,0.6,1.3416407864998738
8,8.0,0.0,8.0,1.2247448713915892,7.7299999999999995,1.3791301606447448,0.19441603181844955,0.2685665805995964,3.4,7.602631123499285
9,9.0,0.0,8.2,1.4832396974191326,7.859999999999999,1.2476978800975818,0.17220537762038063,0.23807905178380903,2.8,6.260990336999411
10,10.0,0.0,8.4,1.51657508881031,8.03,1.2814054783713076,0.19441603181844952,0.26856658059959637,4.4,6.06630035524124
11,11.0,0.0,8.4,1.51657508881031,8.23,1.422849254137627,0.17539392014169458,0.24170481164358537,0.4,0.8944271909999159
12,12.0,0.0,8.4,1.51657508881031,8.32,1.5027474837776307,0.25898290957710135,0.17294454511121105,0.0,0.0
13,13.0,0.0,8.4,1.51657508881031,8.379999999999999,1.539724001241781,0.08717797887081347,0.11937336386313321,0.2,0.447213595499958
14,14.0,0.0,8.6,1.140175425099138,8.379999999999999,1.4826496551781878,0.17435595774162693,0.1823458252881047,1.6,3.577708763999664
15,15.0,0.0,8.6,1.140175425099138,8.379999999999999,1.4741946954184855,0.20308773314606876,0.21141006552903052,2.0,4.472135954999579
16,16.0,0.0,8.6,1.140175425099138,8.440000000000001,1.2596626532528463,0.32478779413845016,0.19847194001508026,0.0,0.0
17,17.0,0.0,8.6,1.140175425099138,8.59,1.1469524837585903,0.04358898943540673,0.09746794344808964,0.0,0.0
18,18.0,0.0,8.6,1.140175425099138,8.59,1.1249444430726343,0.04358898943540673,0.09746794344808964,0.0,0.0
19,19.0,0.0,8.8,1.3038404810405297,8.559999999999999,1.1791946404220124,0.2615339366124404,0.2387467277262665,3.0,6.708203932499369
20,20.0,0.0,9.0,0.9999999999999999,8.690000000000001,1.1960351165413163,0.16274429691402958,0.23187899274718213,3.8,7.429670248402684
21,21.0,0.0,9.0,0.9999999999999999,8.809999999999999,1.1934194568549648,0.27167697485070075,0.22553165336591802,0.4,0.894427190999916
22,22.0,0.0,9.0,0.9999999999999999,8.98,1.0256705123966467,0.06,0.1341640786499874,0.0,0.0
23,23.0,0.0,9.0,0.9999999999999999,8.959999999999999,1.000874617522095,0.14717797887081346,0.13846769720544203,0.2,0.4472135954999579
24,24.0,0.0,9.0,0.9999999999999999,8.98,1.0256705123966467,0.08717797887081347,0.1949358868961793,0.0,0.0
25,25.0,0.0,9.0,0.9999999999999999,8.95,0.9630680142129108,0.1907669683062202,0.19074840695027304,0.2,0.447213595499958
26,26.0,0.0,9.0,0.9999999999999999,8.959999999999999,0.9768572055321082,0.1389829095771013,0.21119822100778712,0.0,0.0
27,27.0,0.0,9.0,0.9999999999999999,8.959999999999999,1.0008746175220948,0.17435595774162693,0.1823458252881047,0.0,0.0
28,28.0,0.0,9.0,0.9999999999999999,8.969999999999999,0.9878005871632185,0.1307669683062202,0.11937336386313321,0.0,0.0
29,29.0,0.0,9.0,0.9999999999999999,9.0,0.9999999999999999,0.0,0.0,0.0,0.0
30,30.0,0.0,9.0,0.9999999999999999,8.940000000000001,1.0033693238284696,0.1907878402833891,0.2612470095522626,0.2,0.447213595499958
31,31.0,0.0,9.0,0.9999999999999999,8.98,0.9878005871632186,0.08717797887081347,0.11937336386313321,0.0,0.0
32,32.0,0.0,9.0,0.9999999999999999,8.98,1.0127931674335091,0.08717797887081347,0.11937336386313323,0.0,0.0
33,33.0,0.0,9.2,0.8366600265340757,8.98,1.012793167433509,0.15042353207418105,0.1430592578196524,3.2,7.155417527999328
34,34.0,0.0,9.2,0.8366600265340757,9.03,0.908019823572151,0.19524050333452356,0.19805663917703537,1.2,2.16794833886788
35,35.0,0.0,9.4,1.1401754250991378,9.18,0.8438009243891595,0.12324555320336758,0.1688584230042874,1.4,3.1304951684997055
36,36.0,0.0,9.4,1.1401754250991378,9.24,0.8876936408468856,0.07999999999999999,0.17888543819998315,1.2,2.6832815729997477
37,37.0,0.0,9.4,1.1401754250991378,9.34,1.0472583253428924,0.1301915298138506,0.19381100834553117,0.0,0.0
