generation,best_fitness,mean_fitness,std_fitness,best_index
0,6.0,1.8633333333333333,1.3655239124803182,28
1,7.0,2.6433333333333335,1.3648402429914237,186
2,8.0,3.32,1.3967581513394984,46
3,8.0,4.096666666666667,1.4401350245337723,111
4,9.0,4.916666666666667,1.4082100537759117,71
5,9.0,5.663333333333333,1.445679386616856,14
6,10.0,6.31,1.4025809542886762,49
7,10.0,7.096666666666667,1.3493166995022168,31
8,12.0,7.776666666666666,1.2570291254470687,98
9,13.0,8.486666666666666,1.1789072152727804,215
10,13.0,9.046666666666667,1.0791148636215186,93
11,14.0,9.66,1.097451593465516,221
12,15.0,10.136666666666667,1.109649594341485,141
13,15.0,10.646666666666667,1.1951940800091378,150
14,15.0,11.216666666666667,1.2947543739601304,253
15,16.0,11.863333333333333,1.2641158526372847,170
16,16.0,12.516666666666667,1.252885558310184,17
17,16.0,13.163333333333334,1.2740966298606327,25
18,17.0,13.686666666666667,1.2200364293286037,3
19,18.0,14.266666666666667,1.18133634311129,0
20,19.0,14.883333333333333,1.2475531607466226,45
21,19.0,15.473333333333333,1.1843235293711858,96
22,19.0,15.933333333333334,1.132352516764202,128
23,20.0,16.463333333333335,1.1555614316089917,124
24,19.0,16.956666666666667,0.9873139768527989,7
25,20.0,17.403333333333332,0.9560276611525886,45
26,21.0,17.796666666666667,0.9602025249336147,206
27,21.0,18.3,0.9848857801796105,63
28,21.0,18.81,0.9594616546098477,32
29,22.0,19.286666666666665,0.8857137736813676,101
30,22.0,19.663333333333334,0.8812806338253187,69
31,22.0,20.03,0.8616457121887935,44
32,22.0,20.376666666666665,0.8649405888396163,3
33,23.0,20.776666666666667,0.828727270511167,130
34,23.0,21.043333333333333,0.88399974861736,32
35,24.0,21.45,0.8490190417966686,21
36,23.0,21.816666666666666,0.7503702789660286,0
37,24.0,22.16,0.6887670143089025,81
38,24.0,22.406666666666666,0.7580384041869002,0
39,25.0,22.76,0.853854007817886,12
40,25.0,23.10333333333333,0.8402314495952224,1
41,25.0,23.366666666666667,0.8787617550976045,21
42,25.0,23.676666666666666,0.8319388332216631,3
43,25.0,23.94,0.8620131476182175,0
44,25.0,24.3,0.7371114795831993,2
45,25.0,24.69333333333333,0.5709251750935105,0
46,25.0,24.846666666666668,0.45072780650360983,0
47,25.0,24.893333333333334,0.4106363625182532,0
48,25.0,24.906666666666666,0.38895872388839525,0
49,25.0,24.916666666666668,0.341158158174312,0
50,26.0,24.913333333333334,0.3989430480100581,87
