generation,best_fitness,mean_fitness,std_fitness,best_index
0,7.0,2.02,1.593612248948909,17
1,7.0,2.7,1.746424919657298,15
2,7.0,4.1,1.8574175621006712,0
3,9.0,5.3,1.7578395831246945,35
4,10.0,6.02,1.542595215861893,4
5,10.0,6.72,1.661806246227279,12
6,11.0,7.6,1.7435595774162693,32
7,12.0,8.4,1.469693845669907,33
8,12.0,9.04,1.1825396399275585,20
9,12.0,9.72,1.2812493902437574,5
10,12.0,9.98,1.1043550153822819,12
11,13.0,10.44,1.134195750300626,31
12,13.0,11.08,1.1285388783732706,9
13,14.0,12.0,0.8944271909999159,12
14,15.0,12.64,0.954148835350125,49
15,15.0,13.24,0.9499473669630334,9
16,15.0,14.0,0.916515138991168,1
17,15.0,14.42,0.7236021006050218,0
18,15.0,14.72,0.4915282290977803,0
19,15.0,14.86,0.34698703145794946,0
20,15.0,14.9,0.36055512754639896,0
21,16.0,15.02,0.13999999999999999,19
22,16.0,15.06,0.36932370625238775,4
23,16.0,15.08,0.4833218389437829,4
24,16.0,15.12,0.3815756805667783,9
25,16.0,15.16,0.6740919818541088,0
26,16.0,15.4,0.5291502622129182,3
27,16.0,15.64,0.52,0
28,17.0,15.78,0.5758472019555188,44
29,17.0,15.92,0.33704599092705434,8
30,17.0,15.96,0.39799497484264795,6
31,17.0,16.04,0.19595917942265423,36
32,17.0,16.0,0.34641016151377546,7
33,17.0,16.02,0.37363083384538803,6
34,17.0,16.1,0.36055512754639896,15
35,17.0,16.06,0.5063595560468864,10
36,17.0,16.24,0.5122499389946279,5
37,17.0,16.36,0.7144228439796702,0
38,18.0,16.68,0.6144916598294887,13
39,18.0,16.84,0.5782732917920383,6
40,18.0,16.92,0.5599999999999999,16
41,18.0,17.2,0.4898979485566356,0
42,18.0,17.32,0.5075431016179808,1
43,18.0,17.54,0.537028863283902,0
44,19.0,17.8,0.4472135954999579,12
45,18.0,17.88,0.3815756805667782,0
46,18.0,17.96,0.27999999999999997,0
47,18.0,17.96,0.27999999999999997,0
48,18.0,17.92,0.33704599092705434,0
49,18.0,18.0,0.0,0
50,18.0,17.94,0.23748684174075835,0
