condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
3bit_problem1,0,40000,6.0,5.94,8.0,18654.0,365.7647058823529,20400.0,400.0,0.08558823529411763
3bit_problem1,1,40001,20.0,18.74,20.0,12426.0,243.64705882352942,20400.0,400.0,0.39088235294117646
3bit_problem1,2,40002,26.0,21.52,26.0,15744.0,308.70588235294116,20400.0,400.0,0.22823529411764706
3bit_problem1,3,40003,38.0,35.95,46.0,12398.0,243.09803921568627,20400.0,400.0,0.3922549019607842
3bit_problem1,4,40004,20.0,16.53,20.0,15760.0,309.01960784313724,20400.0,400.0,0.22745098039215686
3bit_problem1,5,40005,30.0,27.71,30.0,9502.0,186.31372549019608,20400.0,400.0,0.5342156862745098
3bit_problem1,6,40006,20.0,19.55,20.0,13276.0,260.3137254901961,20400.0,400.0,0.34921568627450983
3bit_problem1,7,40007,58.0,52.16,58.0,12380.0,242.7450980392157,20400.0,400.0,0.3931372549019608
3bit_problem1,8,40008,96.0,67.95,96.0,12384.0,242.8235294117647,20400.0,400.0,0.39294117647058824
3bit_problem1,9,40009,44.0,39.57,48.0,13430.0,263.3333333333333,20400.0,400.0,0.3416666666666666
