problem,selected_condition,best_of_run_mean,best_of_run_std,plot_file
problem1,problem1_3bit_pop200_t5,35.8,17.34486795696192,E:\CE310\results\part2_v10\task8_primitives\problem1_primitive_trends.png
problem2,problem2_3bit_pop200_t3,-53.48506800000001,24.74409963994057,E:\CE310\results\part2_v10\task8_primitives\problem2_primitive_trends.png
