condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop100_t5,0,50500,10.0,9.88,10.0,7190.0,140.98039215686273,10200.0,200.0,0.2950980392156863
problem1_3bit_pop100_t5,1,50501,14.0,13.62,14.0,2800.0,54.90196078431372,10200.0,200.0,0.7254901960784312
problem1_3bit_pop100_t5,2,50502,34.0,32.48,34.0,1944.0,38.11764705882353,10200.0,200.0,0.8094117647058823
problem1_3bit_pop100_t5,3,50503,6.0,5.88,6.0,7388.0,144.86274509803923,10200.0,200.0,0.27568627450980393
problem1_3bit_pop100_t5,4,50504,18.0,17.2,18.0,4520.0,88.62745098039215,10200.0,200.0,0.5568627450980392
problem1_3bit_pop100_t5,5,50505,20.0,19.72,20.0,2108.0,41.333333333333336,10200.0,200.0,0.7933333333333333
problem1_3bit_pop100_t5,6,50506,10.0,9.44,10.0,6824.0,133.80392156862746,10200.0,200.0,0.3309803921568627
problem1_3bit_pop100_t5,7,50507,18.0,16.86,18.0,2866.0,56.19607843137255,10200.0,200.0,0.7190196078431373
problem1_3bit_pop100_t5,8,50508,16.0,15.82,16.0,2736.0,53.64705882352941,10200.0,200.0,0.731764705882353
problem1_3bit_pop100_t5,9,50509,16.0,14.56,16.0,2386.0,46.78431372549019,10200.0,200.0,0.766078431372549
