condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation,ideal_found,first_ideal_generation
3bit_problem2,0,40100,-65.16352000000002,-73.1258798666667,-65.16352000000002,255654.0,5012.823529411765,321300.0,6300.0,0.20431372549019608,0,-1
3bit_problem2,1,40101,-91.14016000000002,-104.20626693333335,-91.14016000000002,269346.0,5281.294117647059,321300.0,6300.0,0.1616993464052288,0,-1
3bit_problem2,2,40102,-51.066400000000016,-64.94313520000001,-51.066400000000016,194061.0,3805.1176470588234,321300.0,6300.0,0.3960130718954249,0,-1
3bit_problem2,3,40103,-74.54352000000003,-84.0955512,-74.54352000000003,182721.0,3582.764705882353,321300.0,6300.0,0.43130718954248365,0,-1
3bit_problem2,4,40104,-69.93248000000003,-73.76593693333338,-69.93248000000003,205569.0,4030.764705882353,321300.0,6300.0,0.3601960784313725,0,-1
