condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
15bit_L10_15max,0,20400,0.0,0.0,0.0,0,-1
15bit_L10_15max,1,20401,0.0,0.0,0.0,0,-1
15bit_L10_15max,2,20402,1.0,0.995,1.0,0,-1
15bit_L10_15max,3,20403,0.0,0.0,0.0,0,-1
15bit_L10_15max,4,20404,0.0,0.0,1.0,0,-1
15bit_L10_15max,5,20405,1.0,0.995,1.0,0,-1
15bit_L10_15max,6,20406,0.0,0.0,0.0,0,-1
15bit_L10_15max,7,20407,0.0,0.0,0.0,0,-1
15bit_L10_15max,8,20408,0.0,0.0,0.0,0,-1
15bit_L10_15max,9,20409,0.0,0.0,0.0,0,-1
