generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,-134.68176000000003,-155.30120640000004,6.310243430180408,119,4200.0,4200.0,21.0,200.0,0.0,0.008333333333333333,0.05616666666666666,0.17016666666666666,0.2613333333333333,0.2713333333333333,0.1675,0.05433333333333333,0.010833333333333334
1,-144.13300000000004,-153.45019500000004,5.178958750131821,9,4074.0,4200.0,21.0,194.0,0.030000000000000027,0.007166666666666667,0.058833333333333335,0.173,0.25866666666666666,0.27416666666666667,0.17,0.050166666666666665,0.008
2,-144.13300000000004,-151.68908760000005,5.214164606296795,13,4158.0,4200.0,21.0,198.0,0.010000000000000009,0.006166666666666667,0.0615,0.17283333333333334,0.2655,0.263,0.1695,0.052833333333333336,0.008666666666666666
3,-144.13300000000004,-148.77272980000006,5.019651463605013,9,3948.0,4200.0,21.0,188.0,0.06000000000000005,0.004,0.07666666666666666,0.16733333333333333,0.2615,0.2635,0.16533333333333333,0.05216666666666667,0.0095
4,-129.96420000000003,-146.72637340000006,4.085710676134133,99,3927.0,4200.0,21.0,187.0,0.06499999999999995,0.0031666666666666666,0.07933333333333334,0.16583333333333333,0.25933333333333336,0.2658333333333333,0.1665,0.0525,0.0075
5,-133.13300000000004,-145.68988840000006,3.5386126544386625,38,3864.0,4200.0,21.0,184.0,0.07999999999999996,0.005,0.08633333333333333,0.15783333333333333,0.265,0.2653333333333333,0.16466666666666666,0.04733333333333333,0.0085
6,-133.13300000000004,-145.28964920000004,4.539769295748336,149,4074.0,4200.0,21.0,194.0,0.030000000000000027,0.0055,0.09216666666666666,0.162,0.2655,0.25733333333333336,0.16733333333333333,0.042333333333333334,0.007833333333333333
7,-133.13300000000004,-145.19189320000004,5.30650661457816,127,3969.0,4200.0,21.0,189.0,0.05500000000000005,0.005166666666666667,0.08916666666666667,0.16833333333333333,0.2638333333333333,0.24866666666666667,0.17416666666666666,0.044333333333333336,0.006333333333333333
8,-133.13300000000004,-143.27025100000003,3.9057053297102464,81,3927.0,4200.0,21.0,187.0,0.06499999999999995,0.004,0.08916666666666667,0.16733333333333333,0.265,0.24366666666666667,0.18283333333333332,0.0435,0.0045
9,-133.13300000000004,-141.90997100000004,4.706414520886898,45,3822.0,4200.0,21.0,182.0,0.08999999999999997,0.0025,0.0885,0.17783333333333334,0.275,0.238,0.181,0.033,0.004166666666666667
