condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop50_t5,0,50200,22.0,21.0,22.0,1150.0,22.54901960784314,5100.0,100.0,0.7745098039215687
problem1_3bit_pop50_t5,1,50201,14.0,13.88,14.0,1428.0,28.0,5100.0,100.0,0.7199999999999999
problem1_3bit_pop50_t5,2,50202,16.0,15.36,16.0,1104.0,21.647058823529413,5100.0,100.0,0.7835294117647058
problem1_3bit_pop50_t5,3,50203,8.0,7.68,8.0,1140.0,22.352941176470587,5100.0,100.0,0.7764705882352941
problem1_3bit_pop50_t5,4,50204,6.0,5.64,6.0,2722.0,53.372549019607845,5100.0,100.0,0.4662745098039216
problem1_3bit_pop50_t5,5,50205,2.0,2.0,2.0,4710.0,92.3529411764706,5100.0,100.0,0.07647058823529414
problem1_3bit_pop50_t5,6,50206,16.0,15.84,16.0,1206.0,23.647058823529413,5100.0,100.0,0.763529411764706
problem1_3bit_pop50_t5,7,50207,4.0,3.68,4.0,4504.0,88.31372549019608,5100.0,100.0,0.11686274509803922
problem1_3bit_pop50_t5,8,50208,18.0,17.16,20.0,1036.0,20.313725490196077,5100.0,100.0,0.7968627450980392
problem1_3bit_pop50_t5,9,50209,16.0,15.4,16.0,1600.0,31.372549019607842,5100.0,100.0,0.6862745098039216
