generation,best_fitness,mean_fitness,std_fitness,best_index
0,9.2,7.5295000000000005,0.6206285120746547,69
1,9.3,7.814499999999999,0.5417930878112049,140
2,9.4,8.106,0.45129148008798037,142
3,9.5,8.387,0.4526930527410378,18
4,10.0,8.668,0.4133715036138801,53
5,10.0,8.8515,0.37642761588385093,139
6,9.8,9.085,0.35039263690893957,53
7,9.9,9.2315,0.3322013696540097,7
8,10.1,9.405,0.2880538144166815,34
9,10.3,9.575,0.2875326068465975,127
10,10.4,9.746500000000001,0.2686777809942609,198
11,10.7,9.8865,0.27197012703604045,96
12,10.8,10.0375,0.23694672396975658,11
13,11.0,10.193499999999998,0.2598225355891978,25
14,11.1,10.3195,0.25213042259909846,21
15,11.3,10.4445,0.246109223719876,8
16,11.5,10.571,0.25329626921847864,56
17,11.5,10.698999999999998,0.24330844621590922,185
18,11.5,10.834499999999998,0.2552640789457067,104
19,11.7,10.9815,0.24146997742990736,129
20,11.8,11.098000000000003,0.24939125886846958,63
21,11.9,11.2525,0.2513836709096278,118
22,12.1,11.396500000000001,0.2335331882195762,129
23,12.3,11.5165,0.27069863316980386,72
24,12.4,11.679499999999997,0.2757349270585792,35
25,12.5,11.817,0.24659886455537464,87
26,12.5,11.94,0.24392621835300934,15
27,12.6,12.092,0.21056115501202965,19
28,12.7,12.166500000000001,0.19602997219813104,156
29,12.8,12.2625,0.18396670894485243,96
30,12.9,12.3425,0.19142557300423582,157
31,13.1,12.460999999999999,0.19513841241539287,87
32,13.1,12.5845,0.1857680004737091,103
33,13.1,12.681,0.1787148566851677,10
34,13.1,12.793500000000002,0.15971145857451818,8
35,13.3,12.876,0.13792751719653337,38
36,13.3,12.949000000000002,0.13266122266887168,29
37,13.3,13.003000000000002,0.13034953011039171,26
38,13.4,13.061,0.14723790272888285,14
39,13.5,13.151999999999997,0.1315142577821888,42
40,13.6,13.219,0.12304064369142446,101
41,13.6,13.271500000000001,0.10926001098297612,74
42,13.9,13.319500000000003,0.12755293018978447,15
43,13.8,13.375000000000002,0.11302654555457314,66
44,13.8,13.431000000000001,0.11848628612628531,157
45,13.8,13.503499999999999,0.12057259224218383,49
46,13.9,13.576500000000001,0.12327915476673247,80
47,13.9,13.638,0.12983065893693996,6
48,14.0,13.7215,0.12644267475816887,85
49,14.0,13.783,0.11362658139713643,22
50,14.1,13.842500000000003,0.09871043511199831,6
