condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L30_15max,0,20200,20.0,19.96,20.0,0,-1
4bit_L30_15max,1,20201,25.0,24.85,25.0,0,-1
4bit_L30_15max,2,20202,25.0,24.93,25.0,0,-1
4bit_L30_15max,3,20203,28.0,27.615,28.0,0,-1
4bit_L30_15max,4,20204,26.0,25.965,26.0,0,-1
4bit_L30_15max,5,20205,24.0,23.115,24.0,0,-1
4bit_L30_15max,6,20206,26.0,25.755,26.0,0,-1
4bit_L30_15max,7,20207,26.0,24.545,26.0,0,-1
4bit_L30_15max,8,20208,22.0,21.955,22.0,0,-1
4bit_L30_15max,9,20209,26.0,25.345,26.0,0,-1
