condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation
problem1_3bit_pop50_t2,0,50000,10.0,9.56,12.0,1956.0,38.35294117647059,5100.0,100.0,0.6164705882352941
problem1_3bit_pop50_t2,1,50001,2.0,2.0,4.0,4654.0,91.25490196078431,5100.0,100.0,0.08745098039215686
problem1_3bit_pop50_t2,2,50002,16.0,15.8,16.0,2206.0,43.254901960784316,5100.0,100.0,0.5674509803921569
problem1_3bit_pop50_t2,3,50003,2.0,2.0,2.0,4766.0,93.45098039215686,5100.0,100.0,0.0654901960784314
problem1_3bit_pop50_t2,4,50004,20.0,19.24,28.0,3080.0,60.3921568627451,5100.0,100.0,0.39607843137254906
problem1_3bit_pop50_t2,5,50005,30.0,26.4,30.0,2596.0,50.90196078431372,5100.0,100.0,0.4909803921568628
problem1_3bit_pop50_t2,6,50006,20.0,19.52,20.0,2678.0,52.509803921568626,5100.0,100.0,0.4749019607843137
problem1_3bit_pop50_t2,7,50007,4.0,4.0,8.0,4040.0,79.2156862745098,5100.0,100.0,0.207843137254902
problem1_3bit_pop50_t2,8,50008,6.0,5.76,6.0,3224.0,63.21568627450981,5100.0,100.0,0.367843137254902
problem1_3bit_pop50_t2,9,50009,14.0,13.72,16.0,1772.0,34.745098039215684,5100.0,100.0,0.6525490196078431
