condition,encoding,problem,n_runs,best_of_run_mean,best_of_run_std,final_best_mean,final_best_std,mean_execute_calls_per_generation,mean_execute_calls_nominal_per_generation,execute_call_reduction_ratio,mean_duplicate_ratio_per_generation,ideal_found_fraction,first_ideal_generation_mean
3bit_problem1,3bit,problem1,10,37.2,25.82333139709988,35.8,25.724177991402044,266.57647058823534,400.0,0.3335588235294117,0.33355882352941174,,
7bit_problem1,7bit,problem1,10,38.6,24.676574586707396,36.6,25.369272752682527,266.36470588235295,400.0,0.3340882352941176,0.33408823529411763,,
3bit_problem2,3bit,problem2,10,-61.692944000000026,27.33015398931258,-65.11018000000001,29.38665710231092,2990.070588235294,4200.0,0.28807843137254907,0.288078431372549,0.0,
7bit_problem2,7bit,problem2,10,-83.04852400000001,17.451623464310455,-84.73685200000003,17.246745590068613,2993.035294117647,4200.0,0.28737254901960785,0.28737254901960785,0.0,
