condition,pop_size,tournament_size,p_clone,p_mutation_operator,p_bit_factor,n_runs,best_of_run_mean,best_of_run_std,final_best_mean,final_best_std,ideal_found_fraction,first_ideal_generation_mean
pop200_t2,200,2,0.2,0.1,1.0,5,25.0,1.8708286933869707,25.0,1.8708286933869707,0.0,
pop200_t3,200,3,0.2,0.1,1.0,5,24.0,1.224744871391589,23.8,1.6431676725154984,0.0,
pop200_t5,200,5,0.2,0.1,1.0,5,23.4,1.6733200530681511,23.4,1.6733200530681511,0.0,
pop100_t2,100,2,0.2,0.1,1.0,5,21.6,2.073644135332772,21.6,2.073644135332772,0.0,
pop100_t3,100,3,0.2,0.1,1.0,5,18.6,3.646916505762094,18.6,3.646916505762094,0.0,
pop100_t5,100,5,0.2,0.1,1.0,5,18.4,2.4083189157584592,18.4,2.4083189157584592,0.0,
pop50_t3,50,3,0.2,0.1,1.0,5,16.6,1.1401754250991378,16.4,1.1401754250991378,0.0,
pop50_t2,50,2,0.2,0.1,1.0,5,15.8,2.3874672772626644,15.2,2.16794833886788,0.0,
pop50_t5,50,5,0.2,0.1,1.0,5,14.2,1.3038404810405297,14.2,1.3038404810405297,0.0,
