condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L30_soft15trap_int,0,30100,14.133333333333333,13.961166666666667,14.133333333333333,0,-1
4bit_L30_soft15trap_int,1,30101,14.066666666666666,13.921000000000003,14.066666666666666,0,-1
4bit_L30_soft15trap_int,2,30102,14.4,14.303833333333335,14.4,0,-1
4bit_L30_soft15trap_int,3,30103,14.2,14.105999999999996,14.2,0,-1
4bit_L30_soft15trap_int,4,30104,14.233333333333333,14.121999999999998,14.233333333333333,0,-1
4bit_L30_soft15trap_int,5,30105,14.3,14.205166666666663,14.3,0,-1
4bit_L30_soft15trap_int,6,30106,14.066666666666666,13.952,14.066666666666666,0,-1
4bit_L30_soft15trap_int,7,30107,14.033333333333333,13.853000000000002,14.033333333333333,0,-1
4bit_L30_soft15trap_int,8,30108,14.133333333333333,14.073166666666665,14.133333333333333,0,-1
4bit_L30_soft15trap_int,9,30109,14.2,14.09083333333333,14.233333333333333,0,-1
