generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,4.0,0.4,1.4422205101855958,7,100.0,100.0,2.0,50.0,0.0,0.114,0.12466666666666666,0.13066666666666665,0.13733333333333334,0.10866666666666666,0.12333333333333334,0.134,0.12733333333333333
1,6.0,1.76,1.581897594662815,9,94.0,100.0,2.0,47.0,0.06000000000000005,0.12933333333333333,0.12533333333333332,0.12666666666666668,0.17133333333333334,0.11733333333333333,0.108,0.11133333333333334,0.11066666666666666
2,6.0,3.52,1.0998181667894016,5,72.0,100.0,2.0,36.0,0.28,0.09466666666666666,0.164,0.124,0.22066666666666668,0.10733333333333334,0.088,0.10533333333333333,0.096
3,6.0,3.96,1.8106352476410041,3,84.0,100.0,2.0,42.0,0.16000000000000003,0.06866666666666667,0.17733333333333334,0.12533333333333332,0.22666666666666666,0.11266666666666666,0.07466666666666667,0.10933333333333334,0.10533333333333333
4,6.0,5.2,1.6,0,66.0,100.0,2.0,33.0,0.33999999999999997,0.07533333333333334,0.18266666666666667,0.12533333333333332,0.154,0.13866666666666666,0.048,0.12866666666666668,0.14733333333333334
5,6.0,5.84,0.8799999999999999,0,58.0,100.0,2.0,29.0,0.42000000000000004,0.07733333333333334,0.17333333333333334,0.128,0.144,0.146,0.04533333333333334,0.14066666666666666,0.14533333333333334
6,6.0,5.96,0.27999999999999997,0,56.0,100.0,2.0,28.0,0.43999999999999995,0.076,0.17466666666666666,0.126,0.146,0.14733333333333334,0.044,0.138,0.148
7,6.0,5.96,0.27999999999999997,0,52.0,100.0,2.0,26.0,0.48,0.07266666666666667,0.17866666666666667,0.12866666666666668,0.144,0.14333333333333334,0.04666666666666667,0.13066666666666665,0.15533333333333332
8,6.0,5.84,1.1199999999999999,0,44.0,100.0,2.0,22.0,0.56,0.072,0.18066666666666667,0.122,0.14666666666666667,0.146,0.04933333333333333,0.134,0.14933333333333335
9,6.0,5.88,0.6209669878504008,0,52.0,100.0,2.0,26.0,0.48,0.072,0.18333333333333332,0.12,0.14666666666666667,0.14666666666666667,0.05,0.138,0.14333333333333334
10,6.0,5.76,0.9499473669630335,0,56.0,100.0,2.0,28.0,0.43999999999999995,0.07066666666666667,0.18933333333333333,0.11066666666666666,0.14466666666666667,0.15066666666666667,0.050666666666666665,0.14,0.14333333333333334
11,6.0,5.64,1.7292773056973834,0,52.0,100.0,2.0,26.0,0.48,0.06666666666666667,0.18866666666666668,0.11133333333333334,0.146,0.15866666666666668,0.048666666666666664,0.134,0.146
12,6.0,6.0,0.0,0,44.0,100.0,2.0,22.0,0.56,0.06666666666666667,0.19266666666666668,0.108,0.14266666666666666,0.16066666666666668,0.04666666666666667,0.13266666666666665,0.15
13,6.0,5.92,0.39191835884530857,0,44.0,100.0,2.0,22.0,0.56,0.066,0.194,0.104,0.14133333333333334,0.15666666666666668,0.050666666666666665,0.13133333333333333,0.156
14,6.0,5.96,0.27999999999999997,0,54.0,100.0,2.0,27.0,0.45999999999999996,0.066,0.2,0.10133333333333333,0.13666666666666666,0.15666666666666668,0.04733333333333333,0.13666666666666666,0.15533333333333332
15,6.0,5.76,1.1757550765359255,0,58.0,100.0,2.0,29.0,0.42000000000000004,0.07,0.19266666666666668,0.1,0.13933333333333334,0.158,0.04666666666666667,0.138,0.15533333333333332
16,6.0,5.84,0.6740919818541087,0,50.0,100.0,2.0,25.0,0.5,0.07066666666666667,0.2,0.10266666666666667,0.13666666666666666,0.15533333333333332,0.043333333333333335,0.138,0.15333333333333332
17,6.0,5.8,1.0,0,42.0,100.0,2.0,21.0,0.5800000000000001,0.06866666666666667,0.20866666666666667,0.09933333333333333,0.136,0.15666666666666668,0.037333333333333336,0.14133333333333334,0.152
18,6.0,6.0,0.0,0,40.0,100.0,2.0,20.0,0.6,0.07,0.20533333333333334,0.10133333333333333,0.14,0.158,0.035333333333333335,0.14066666666666666,0.14933333333333335
19,6.0,5.72,1.0590561835898982,0,44.0,100.0,2.0,22.0,0.56,0.074,0.20533333333333334,0.09733333333333333,0.14066666666666666,0.15266666666666667,0.03666666666666667,0.14466666666666667,0.14866666666666667
20,6.0,5.88,0.8400000000000001,0,38.0,100.0,2.0,19.0,0.62,0.07533333333333334,0.20133333333333334,0.09866666666666667,0.144,0.158,0.035333333333333335,0.14466666666666667,0.14266666666666666
21,6.0,5.92,0.5599999999999999,0,42.0,100.0,2.0,21.0,0.5800000000000001,0.074,0.204,0.09866666666666667,0.146,0.158,0.036,0.142,0.14133333333333334
22,6.0,5.88,0.4749736834815167,0,44.0,100.0,2.0,22.0,0.56,0.07133333333333333,0.20533333333333334,0.1,0.14733333333333334,0.15933333333333333,0.03666666666666667,0.14133333333333334,0.13866666666666666
23,6.0,5.76,1.1757550765359255,0,36.0,100.0,2.0,18.0,0.64,0.07133333333333333,0.20466666666666666,0.10066666666666667,0.14666666666666667,0.158,0.038,0.14,0.14066666666666666
24,6.0,5.84,1.1199999999999999,0,36.0,100.0,2.0,18.0,0.64,0.06866666666666667,0.198,0.1,0.152,0.16533333333333333,0.03866666666666667,0.14,0.13733333333333334
25,6.0,5.8,0.8246211251235321,0,44.0,100.0,2.0,22.0,0.56,0.068,0.19133333333333333,0.10066666666666667,0.15933333333333333,0.17,0.04,0.14133333333333334,0.12933333333333333
26,6.0,5.92,0.39191835884530857,0,38.0,100.0,2.0,19.0,0.62,0.06733333333333333,0.192,0.1,0.16466666666666666,0.17466666666666666,0.03866666666666667,0.14133333333333334,0.12133333333333333
27,6.0,5.88,0.4749736834815168,0,42.0,100.0,2.0,21.0,0.5800000000000001,0.068,0.19266666666666668,0.1,0.16666666666666666,0.17666666666666667,0.036,0.14333333333333334,0.11666666666666667
28,6.0,5.8,0.8246211251235321,0,48.0,100.0,2.0,24.0,0.52,0.06933333333333333,0.192,0.098,0.164,0.176,0.03666666666666667,0.14533333333333334,0.11866666666666667
29,6.0,5.88,0.47497368348151675,0,58.0,100.0,2.0,29.0,0.42000000000000004,0.06866666666666667,0.19666666666666666,0.09933333333333333,0.162,0.17333333333333334,0.035333333333333335,0.148,0.11666666666666667
30,6.0,5.92,0.39191835884530857,0,42.0,100.0,2.0,21.0,0.5800000000000001,0.07,0.19733333333333333,0.096,0.15933333333333333,0.178,0.03666666666666667,0.14533333333333334,0.11733333333333333
31,6.0,5.96,0.27999999999999997,0,40.0,100.0,2.0,20.0,0.6,0.07133333333333333,0.19933333333333333,0.096,0.15666666666666668,0.17666666666666667,0.036,0.14333333333333334,0.12066666666666667
32,6.0,5.84,0.8799999999999998,0,44.0,100.0,2.0,22.0,0.56,0.07066666666666667,0.202,0.09666666666666666,0.15733333333333333,0.176,0.035333333333333335,0.14266666666666666,0.11933333333333333
33,6.0,5.64,1.3078226179417451,0,54.0,100.0,2.0,27.0,0.45999999999999996,0.076,0.20866666666666667,0.09466666666666666,0.152,0.168,0.03933333333333333,0.142,0.11933333333333333
34,6.0,5.72,0.9806120537705012,0,52.0,100.0,2.0,26.0,0.48,0.08,0.20333333333333334,0.09666666666666666,0.14666666666666667,0.164,0.04466666666666667,0.14266666666666666,0.122
35,6.0,6.0,0.0,0,44.0,100.0,2.0,22.0,0.56,0.08066666666666666,0.202,0.09133333333333334,0.152,0.166,0.042666666666666665,0.14466666666666667,0.12066666666666667
36,6.0,5.96,0.27999999999999997,0,46.0,100.0,2.0,23.0,0.54,0.08266666666666667,0.20266666666666666,0.09266666666666666,0.14866666666666667,0.16133333333333333,0.04466666666666667,0.14333333333333334,0.124
37,6.0,5.88,0.6209669878504009,0,56.0,100.0,2.0,28.0,0.43999999999999995,0.08066666666666666,0.19866666666666666,0.09466666666666666,0.15266666666666667,0.16466666666666666,0.044,0.14,0.12466666666666666
38,6.0,5.92,0.39191835884530857,0,54.0,100.0,2.0,27.0,0.45999999999999996,0.08,0.20133333333333334,0.09466666666666666,0.15466666666666667,0.16,0.04533333333333334,0.14,0.124
39,6.0,5.96,0.27999999999999997,0,64.0,100.0,2.0,32.0,0.36,0.09066666666666667,0.19666666666666666,0.088,0.158,0.168,0.04066666666666666,0.138,0.12
40,6.0,5.96,0.27999999999999997,0,60.0,100.0,2.0,30.0,0.4,0.098,0.19,0.09066666666666667,0.15466666666666667,0.16466666666666666,0.04466666666666667,0.13533333333333333,0.122
