run,best_of_run_fitness,generation_of_best
0,-66.56212000000002,29
1,-43.54348000000001,48
2,-123.88176000000001,19
3,-128.65376000000003,1
4,-84.16020000000003,47
5,-20.290720000000004,11
6,-95.16640000000002,26
7,-89.13300000000002,13
8,-80.41008000000002,33
9,-80.41008000000002,42
