condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation,ideal_found,first_ideal_generation
problem2_3bit_pop100_t3,0,51300,-66.56212000000002,-68.06031760000002,-66.56212000000002,33264.0,652.2352941176471,107100.0,2100.0,0.6894117647058823,0,-1
problem2_3bit_pop100_t3,1,51301,-43.54348000000001,-69.97118200000001,-43.54348000000001,34524.0,676.9411764705883,107100.0,2100.0,0.6776470588235293,0,-1
problem2_3bit_pop100_t3,2,51302,-133.13300000000004,-133.90057360000003,-123.88176000000001,87444.0,1714.5882352941176,107100.0,2100.0,0.18352941176470586,0,-1
problem2_3bit_pop100_t3,3,51303,-134.68176000000003,-134.68175999999997,-128.65376000000003,94479.0,1852.5294117647059,107100.0,2100.0,0.11784313725490196,0,-1
problem2_3bit_pop100_t3,4,51304,-84.16020000000003,-90.54826880000002,-84.16020000000003,40068.0,785.6470588235294,107100.0,2100.0,0.6258823529411766,0,-1
problem2_3bit_pop100_t3,5,51305,-33.9978,-49.69179679999999,-20.290720000000004,30030.0,588.8235294117648,107100.0,2100.0,0.7196078431372548,0,-1
problem2_3bit_pop100_t3,6,51306,-95.16640000000002,-96.69277440000005,-95.16640000000002,48699.0,954.8823529411765,107100.0,2100.0,0.5452941176470588,0,-1
problem2_3bit_pop100_t3,7,51307,-89.13300000000002,-90.0479752,-89.13300000000002,72975.0,1430.8823529411766,107100.0,2100.0,0.31862745098039225,0,-1
problem2_3bit_pop100_t3,8,51308,-80.41008000000002,-85.03172839999999,-80.41008000000002,37863.0,742.4117647058823,107100.0,2100.0,0.6464705882352941,0,-1
problem2_3bit_pop100_t3,9,51309,-80.41008000000002,-82.9872588,-80.41008000000002,39963.0,783.5882352941177,107100.0,2100.0,0.6268627450980392,0,-1
