condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
15bit_L30_soft15max,0,20700,11.6,11.393222222222224,11.6,0,-1
15bit_L30_soft15max,1,20701,11.866666666666667,11.622,11.866666666666667,0,-1
15bit_L30_soft15max,2,20702,11.933333333333334,11.699777777777777,11.933333333333334,0,-1
15bit_L30_soft15max,3,20703,12.0,11.822000000000001,12.033333333333333,0,-1
15bit_L30_soft15max,4,20704,11.5,11.337333333333333,11.5,0,-1
15bit_L30_soft15max,5,20705,11.533333333333333,11.339111111111112,11.533333333333333,0,-1
15bit_L30_soft15max,6,20706,11.633333333333333,11.46288888888889,11.633333333333333,0,-1
15bit_L30_soft15max,7,20707,11.833333333333334,11.684222222222223,11.833333333333334,0,-1
15bit_L30_soft15max,8,20708,11.7,11.51288888888889,11.7,0,-1
15bit_L30_soft15max,9,20709,11.633333333333333,11.45911111111111,11.633333333333333,0,-1
