generation,best_fitness,mean_fitness,std_fitness,best_index,execute_calls,execute_calls_nominal,fitness_cases,unique_programs,duplicate_ratio,freq_NOP,freq_X,freq_+,freq_-,freq_*,freq_1,freq_-1,freq_0
0,-133.13300000000004,-155.16997800000001,7.352703406366662,98,2100.0,2100.0,21.0,100.0,0.0,0.12133333333333333,0.126,0.127,0.12433333333333334,0.132,0.131,0.12033333333333333,0.118
1,-133.13300000000004,-149.77621840000006,7.22544375972005,32,1932.0,2100.0,21.0,92.0,0.07999999999999996,0.115,0.14333333333333334,0.116,0.132,0.13733333333333334,0.13,0.11,0.11633333333333333
2,-133.13300000000004,-144.89088720000007,3.3352933274607426,26,1890.0,2100.0,21.0,90.0,0.09999999999999998,0.11233333333333333,0.14966666666666667,0.12366666666666666,0.13033333333333333,0.13233333333333333,0.13733333333333334,0.10033333333333333,0.114
3,-133.13300000000004,-144.20894920000003,5.216529364956295,17,1932.0,2100.0,21.0,92.0,0.07999999999999996,0.12333333333333334,0.171,0.13,0.138,0.10366666666666667,0.13433333333333333,0.11033333333333334,0.08933333333333333
4,-133.13300000000004,-142.37437640000005,9.418706984456145,1,1806.0,2100.0,21.0,86.0,0.14,0.117,0.191,0.14433333333333334,0.14166666666666666,0.081,0.10833333333333334,0.117,0.09966666666666667
5,-113.23728000000003,-134.63356120000003,4.810447057426425,38,1281.0,2100.0,21.0,61.0,0.39,0.10033333333333333,0.221,0.18133333333333335,0.14833333333333334,0.06233333333333333,0.072,0.11633333333333333,0.09833333333333333
6,-111.13300000000002,-132.51118920000005,6.332075176091594,77,1260.0,2100.0,21.0,60.0,0.4,0.09266666666666666,0.235,0.197,0.14933333333333335,0.058,0.065,0.10733333333333334,0.09566666666666666
7,-111.13300000000002,-130.76925560000004,8.19122933747827,55,1554.0,2100.0,21.0,74.0,0.26,0.101,0.22833333333333333,0.20133333333333334,0.144,0.063,0.065,0.10733333333333334,0.09
8,-111.13300000000002,-124.78019320000001,10.235852310073348,1,1428.0,2100.0,21.0,68.0,0.31999999999999995,0.10866666666666666,0.22266666666666668,0.21366666666666667,0.13366666666666666,0.07166666666666667,0.067,0.10066666666666667,0.082
9,-103.16928000000003,-115.73988960000001,11.316569605610523,54,777.0,2100.0,21.0,37.0,0.63,0.12566666666666668,0.211,0.22133333333333333,0.12966666666666668,0.07666666666666666,0.063,0.09966666666666667,0.073
10,-103.16928000000003,-112.75358560000002,8.889290666276622,14,546.0,2100.0,21.0,26.0,0.74,0.12133333333333333,0.20733333333333334,0.18266666666666667,0.137,0.072,0.069,0.123,0.08766666666666667
11,-100.13300000000002,-110.25623760000002,9.399198980217529,27,378.0,2100.0,21.0,18.0,0.8200000000000001,0.12666666666666668,0.195,0.16566666666666666,0.13633333333333333,0.07166666666666667,0.07466666666666667,0.13166666666666665,0.09833333333333333
12,-100.13300000000002,-107.47546680000004,8.966736892070479,4,441.0,2100.0,21.0,21.0,0.79,0.12633333333333333,0.18533333333333332,0.16566666666666666,0.13433333333333333,0.07133333333333333,0.08666666666666667,0.13133333333333333,0.099
13,-100.13300000000002,-104.65312320000004,7.018127484680066,10,378.0,2100.0,21.0,18.0,0.8200000000000001,0.12133333333333333,0.19333333333333333,0.16666666666666666,0.13333333333333333,0.06833333333333333,0.092,0.13166666666666665,0.09333333333333334
14,-100.13300000000002,-103.95361200000004,11.177573278107912,2,378.0,2100.0,21.0,18.0,0.8200000000000001,0.105,0.23366666666666666,0.16633333333333333,0.13333333333333333,0.07033333333333333,0.083,0.13166666666666665,0.07666666666666666
15,-100.13300000000002,-101.93059640000003,6.962285876100394,0,357.0,2100.0,21.0,17.0,0.83,0.09366666666666666,0.268,0.16533333333333333,0.13366666666666666,0.07233333333333333,0.069,0.12933333333333333,0.06866666666666667
16,-100.13300000000002,-102.47607360000002,12.456389467933919,0,336.0,2100.0,21.0,16.0,0.84,0.09266666666666666,0.27,0.167,0.13333333333333333,0.07333333333333333,0.06666666666666667,0.126,0.071
17,-100.13300000000002,-102.02404280000002,10.69117293245938,0,336.0,2100.0,21.0,16.0,0.84,0.08766666666666667,0.2733333333333333,0.16633333333333333,0.134,0.07466666666666667,0.06666666666666667,0.126,0.07133333333333333
18,-100.13300000000002,-103.64701760000004,14.267146111523576,0,483.0,2100.0,21.0,23.0,0.77,0.08933333333333333,0.2723333333333333,0.16566666666666666,0.133,0.07566666666666666,0.068,0.12533333333333332,0.07066666666666667
19,-100.13300000000002,-102.05604280000001,10.891328048156122,0,357.0,2100.0,21.0,17.0,0.83,0.08466666666666667,0.2776666666666667,0.16666666666666666,0.134,0.07333333333333333,0.067,0.123,0.07366666666666667
20,-100.13300000000002,-100.93554320000003,4.807788244655306,0,399.0,2100.0,21.0,19.0,0.81,0.08433333333333333,0.2776666666666667,0.16633333333333333,0.13566666666666666,0.074,0.06733333333333333,0.119,0.07566666666666666
21,-100.13300000000002,-101.885802,11.348741949837969,0,378.0,2100.0,21.0,18.0,0.8200000000000001,0.08666666666666667,0.27666666666666667,0.16633333333333333,0.13733333333333334,0.07333333333333333,0.067,0.117,0.07566666666666666
22,-100.13300000000002,-101.02648760000002,6.255140305702366,0,462.0,2100.0,21.0,22.0,0.78,0.08266666666666667,0.2803333333333333,0.16666666666666666,0.13766666666666666,0.073,0.067,0.11533333333333333,0.07733333333333334
23,-100.13300000000002,-101.43631440000001,9.847639263020993,0,378.0,2100.0,21.0,18.0,0.8200000000000001,0.08233333333333333,0.2813333333333333,0.167,0.139,0.07266666666666667,0.06733333333333333,0.11166666666666666,0.07866666666666666
24,-100.13300000000002,-102.59207320000002,10.518643064371458,0,525.0,2100.0,21.0,25.0,0.75,0.08266666666666667,0.2786666666666667,0.16666666666666666,0.14033333333333334,0.07166666666666667,0.06866666666666667,0.11266666666666666,0.07866666666666666
25,-100.13300000000002,-100.91527160000001,5.519332927128917,0,399.0,2100.0,21.0,19.0,0.81,0.08233333333333333,0.283,0.16733333333333333,0.13666666666666666,0.06833333333333333,0.06766666666666667,0.11366666666666667,0.081
26,-100.13300000000002,-105.27753000000001,19.097582845072207,0,483.0,2100.0,21.0,23.0,0.77,0.08233333333333333,0.282,0.16566666666666666,0.13633333333333333,0.06933333333333333,0.068,0.11466666666666667,0.08166666666666667
27,-100.13300000000002,-100.93404280000003,5.800478598853046,0,420.0,2100.0,21.0,20.0,0.8,0.08366666666666667,0.282,0.167,0.13466666666666666,0.07,0.068,0.113,0.08166666666666667
28,-100.13300000000002,-102.10612760000002,8.624102060918705,0,567.0,2100.0,21.0,27.0,0.73,0.08166666666666667,0.283,0.16766666666666666,0.137,0.06933333333333333,0.069,0.11033333333333334,0.082
29,-100.13300000000002,-102.34522720000001,9.729794874103161,0,525.0,2100.0,21.0,25.0,0.75,0.08133333333333333,0.2826666666666667,0.16733333333333333,0.13466666666666666,0.071,0.06866666666666667,0.11033333333333334,0.084
30,-100.13300000000002,-101.16780200000001,6.62481876552197,1,441.0,2100.0,21.0,21.0,0.79,0.08266666666666667,0.281,0.16733333333333333,0.13633333333333333,0.06966666666666667,0.06933333333333333,0.10866666666666666,0.085
31,-100.13300000000002,-101.80375360000002,11.974449699229728,0,525.0,2100.0,21.0,25.0,0.75,0.08133333333333333,0.2806666666666667,0.168,0.13733333333333334,0.068,0.072,0.10933333333333334,0.08333333333333333
32,-100.13300000000002,-102.3464876,11.79345466689139,0,567.0,2100.0,21.0,27.0,0.73,0.08333333333333333,0.281,0.16733333333333333,0.137,0.06866666666666667,0.07233333333333333,0.10766666666666666,0.08266666666666667
