generation,best_fitness,mean_fitness,std_fitness,best_index
0,6.0,1.74,1.2379014500355026,57
1,6.0,3.515,1.1831208729457865,2
2,8.0,5.06,1.0983624174196784,60
3,9.0,6.44,1.0031948963187562,158
4,11.0,7.56,1.0660206376989143,30
5,12.0,8.895,1.092691630790682,22
6,14.0,10.345,1.093606419147218,35
7,14.0,11.62,1.1025425161870177,16
8,15.0,13.1,0.8774964387392122,123
9,15.0,13.98,0.3458323293158116,11
10,15.0,14.17,0.5010987926547019,0
11,15.0,14.78,0.4707440918375928,0
12,15.0,14.96,0.22,0
13,16.0,14.945,0.3632836357448544,106
14,16.0,14.98,0.24413111231467405,116
15,16.0,15.06,0.47581509013481277,9
16,16.0,15.6,0.5477225575051661,0
17,16.0,15.925,0.3152380053229623,1
18,17.0,15.96,0.21999999999999997,99
19,17.0,15.97,0.3148015247739439,56
20,17.0,16.105,0.5513392784846731,2
21,17.0,16.645,0.5375639496841282,0
22,17.0,16.925,0.29895651857753497,0
23,17.0,16.945,0.30327380368241497,0
24,17.0,16.96,0.22,0
25,17.0,16.945,0.34924919470200644,0
26,17.0,16.92,0.3789459064299283,0
27,17.0,16.95,0.27838821814150105,0
28,18.0,16.935,0.3012888979036566,16
29,18.0,17.0,0.31622776601683794,24
30,18.0,17.19,0.5038849074937649,7
31,18.0,17.78,0.5491812087098392,1
32,18.0,17.925,0.3455068740271313,0
33,18.0,17.945,0.24894778569009207,0
34,18.0,17.935,0.3012888979036566,0
35,18.0,17.92,0.36551333764994126,0
36,18.0,17.97,0.19773719933285186,0
37,18.0,17.985,0.12155245781143219,0
38,18.0,17.95,0.2598076211353316,0
39,18.0,17.905,0.3687478813498459,0
40,18.0,17.945,0.2863127660444081,0
41,18.0,17.935,0.28420942982244624,0
42,18.0,17.965,0.23189437250610453,0
43,18.0,17.945,0.33462665763504257,0
44,18.0,17.91,0.4264973622427225,0
45,18.0,17.94,0.2939387691339814,0
46,18.0,17.945,0.26828156850592627,0
47,18.0,17.95,0.21794494717703367,0
48,18.0,17.865,0.4967645317451721,0
49,18.0,17.955,0.2301629857296781,0
50,18.0,17.895,0.40493826690003004,0
