generation,best_fitness,mean_fitness,std_fitness,best_index
0,5.0,2.0,1.140175425099138,4
1,5.0,2.95,1.16081867662439,0
2,6.0,4.3,0.9,6
3,6.0,5.25,0.4330127018922193,3
4,6.0,5.6,0.58309518948453,0
5,7.0,6.05,0.49749371855331004,7
6,7.0,6.85,0.3570714214271425,0
7,7.0,6.95,0.21794494717703367,0
8,7.0,7.0,0.0,0
9,7.0,7.0,0.0,0
10,8.0,7.05,0.21794494717703367,0
11,8.0,7.25,0.4330127018922193,5
12,8.0,7.9,0.30000000000000004,0
13,8.0,8.0,0.0,0
14,8.0,7.9,0.30000000000000004,0
15,8.0,8.0,0.0,0
16,8.0,7.95,0.21794494717703367,0
17,8.0,8.0,0.0,0
18,8.0,8.0,0.0,0
19,8.0,8.0,0.0,0
20,9.0,8.05,0.21794494717703367,5
21,9.0,8.05,0.4974937185533101,3
22,9.0,8.8,0.39999999999999997,0
23,9.0,9.0,0.0,0
24,9.0,8.95,0.21794494717703367,0
25,9.0,9.0,0.0,0
26,9.0,9.0,0.0,0
27,9.0,8.95,0.21794494717703367,0
28,9.0,8.95,0.21794494717703367,0
29,9.0,9.0,0.0,0
30,9.0,9.0,0.0,0
31,9.0,9.0,0.0,0
32,9.0,9.0,0.0,0
33,9.0,8.9,0.43588989435406733,0
34,9.0,8.95,0.21794494717703367,0
35,9.0,8.95,0.21794494717703367,0
36,9.0,9.0,0.0,0
37,9.0,8.95,0.21794494717703367,0
38,9.0,8.95,0.21794494717703367,0
39,9.0,9.0,0.0,0
40,9.0,8.95,0.21794494717703367,0
41,9.0,8.95,0.21794494717703367,0
42,9.0,8.95,0.21794494717703367,0
43,9.0,9.0,0.0,0
44,9.0,9.0,0.0,0
45,9.0,9.0,0.0,0
46,9.0,9.0,0.0,0
47,9.0,9.0,0.0,0
48,9.0,8.95,0.21794494717703367,0
49,9.0,8.9,0.43588989435406733,0
50,9.0,9.0,0.0,0
