run,best_of_run_fitness,generation_of_best
0,10.8,49
1,10.966666666666667,50
2,10.5,48
3,10.633333333333333,49
4,10.766666666666667,50
5,10.966666666666667,48
6,10.6,49
7,10.9,50
8,10.833333333333334,50
9,10.6,50
