condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
15bit_L10_soft15trap_int,0,30200,13.2,12.877,13.2,0,-1
15bit_L10_soft15trap_int,1,30201,13.4,13.061333333333334,13.4,0,-1
15bit_L10_soft15trap_int,2,30202,13.6,13.284666666666666,13.6,0,-1
15bit_L10_soft15trap_int,3,30203,13.4,13.119,13.4,0,-1
15bit_L10_soft15trap_int,4,30204,13.1,12.864,13.1,0,-1
15bit_L10_soft15trap_int,5,30205,13.1,12.799666666666665,13.1,0,-1
15bit_L10_soft15trap_int,6,30206,13.5,13.211333333333332,13.5,0,-1
15bit_L10_soft15trap_int,7,30207,13.6,13.090333333333335,13.6,0,-1
15bit_L10_soft15trap_int,8,30208,13.1,12.788666666666668,13.1,0,-1
15bit_L10_soft15trap_int,9,30209,13.7,13.282333333333332,13.7,0,-1
