condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
15bit_L10_soft15max,0,20500,13.8,13.5525,13.8,0,-1
15bit_L10_soft15max,1,20501,14.3,14.0205,14.3,0,-1
15bit_L10_soft15max,2,20502,13.7,13.469000000000001,13.7,0,-1
15bit_L10_soft15max,3,20503,13.7,13.485999999999999,13.7,0,-1
15bit_L10_soft15max,4,20504,13.9,13.753499999999999,13.9,0,-1
15bit_L10_soft15max,5,20505,14.2,13.954500000000001,14.2,0,-1
15bit_L10_soft15max,6,20506,14.1,13.842500000000003,14.1,0,-1
15bit_L10_soft15max,7,20507,13.8,13.598999999999997,13.8,0,-1
15bit_L10_soft15max,8,20508,14.1,13.921000000000001,14.1,0,-1
15bit_L10_soft15max,9,20509,14.0,13.7935,14.0,0,-1
