condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation,ideal_found,first_ideal_generation
problem2_3bit_pop50_t5,0,51100,-91.16016000000002,-93.51648080000002,-91.16016000000002,12201.0,239.23529411764707,53550.0,1050.0,0.7721568627450981,0,-1
problem2_3bit_pop50_t5,1,51101,-133.13300000000004,-134.60390080000002,-133.13300000000004,44373.0,870.0588235294117,53550.0,1050.0,0.17137254901960786,0,-1
problem2_3bit_pop50_t5,2,51102,-89.13300000000002,-91.99300000000002,-89.13300000000002,20055.0,393.2352941176471,53550.0,1050.0,0.6254901960784314,0,-1
problem2_3bit_pop50_t5,3,51103,-100.13300000000002,-100.23026880000002,-100.13300000000002,11571.0,226.88235294117646,53550.0,1050.0,0.7839215686274511,0,-1
problem2_3bit_pop50_t5,4,51104,-103.16928000000003,-113.59498560000003,-103.16928000000003,10668.0,209.1764705882353,53550.0,1050.0,0.8007843137254903,0,-1
problem2_3bit_pop50_t5,5,51105,-133.13300000000004,-133.90481440000002,-133.13300000000004,36036.0,706.5882352941177,53550.0,1050.0,0.3270588235294117,0,-1
problem2_3bit_pop50_t5,6,51106,-133.13300000000004,-133.13300000000004,-133.13300000000004,35490.0,695.8823529411765,53550.0,1050.0,0.3372549019607844,0,-1
problem2_3bit_pop50_t5,7,51107,-95.16640000000002,-97.89042320000004,-95.16640000000002,23835.0,467.3529411764706,53550.0,1050.0,0.5549019607843136,0,-1
problem2_3bit_pop50_t5,8,51108,-101.96016000000003,-105.31544400000003,-101.96016000000003,14217.0,278.7647058823529,53550.0,1050.0,0.7345098039215686,0,-1
problem2_3bit_pop50_t5,9,51109,-89.13300000000002,-91.39415040000002,-89.13300000000002,16317.0,319.94117647058823,53550.0,1050.0,0.6952941176470588,0,-1
