run,best_of_run_fitness,generation_of_best
0,-20.69643999999999,50
1,-84.16020000000003,39
2,-65.70000000000002,41
3,-74.54352000000003,40
4,-84.16020000000003,34
5,-21.091080000000005,30
6,-27.364200000000007,49
7,-84.16020000000003,47
8,-80.51008000000002,43
9,-74.54352000000003,24
