generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std
0,0.0,0.0,6.333333333333333,0.5773502691896257,1.805,0.03605551275463999,1.3434719757739193,0.04227381536107987,139.0,32.046840717924134
1,1.0,0.0,6.0,1.0,2.5416666666666665,0.12096831541082706,1.2083670121435783,0.05036115511782291,41.666666666666664,22.300971578236975
2,2.0,0.0,7.0,1.0,3.236666666666667,0.1325078614020065,1.2359413815703573,0.16461577076007775,122.33333333333333,62.62853449772982
3,3.0,0.0,7.333333333333333,0.5773502691896257,3.873333333333333,0.06448514040717698,1.2629985346766999,0.11843585650791495,13.0,15.394804318340652
4,4.0,0.0,8.666666666666666,1.1547005383792515,4.5200000000000005,0.10331989159885904,1.3005386722359285,0.1470501378041283,21.666666666666668,17.15614564327703
5,5.0,0.0,9.333333333333334,1.5275252316519468,5.278333333333333,0.12964695651396277,1.3334185074831657,0.1657713058766506,90.33333333333333,68.66100300267492
6,6.0,0.0,10.0,0.0,5.968333333333334,0.320637386050556,1.3714256467246158,0.2048781180579168,48.333333333333336,49.03400180826905
7,7.0,0.0,11.0,1.0,6.728333333333334,0.3598726626646342,1.4350724405572315,0.05601906398420441,65.0,59.016946718718
8,8.0,0.0,11.333333333333334,0.5773502691896258,7.428333333333334,0.35851545759330034,1.4460596779720885,0.04614771516434219,93.66666666666667,81.2055006347066
9,9.0,0.0,12.0,0.0,8.131666666666666,0.3551877437825433,1.411019962989025,0.09418861963993326,53.0,55.65069631190611
10,10.0,0.0,12.666666666666666,0.5773502691896255,8.966666666666667,0.1740928870842611,1.4364668702720513,0.18129918895633793,70.66666666666667,53.26662494783515
11,11.0,0.0,13.333333333333334,0.5773502691896258,9.633333333333333,0.14109689342197917,1.3583095163044299,0.14463017276916684,80.66666666666667,68.41296173484477
