condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,total_execute_calls,mean_execute_calls_per_generation,total_execute_calls_nominal,mean_execute_calls_nominal_per_generation,mean_duplicate_ratio_per_generation,ideal_found,first_ideal_generation
problem2_3bit_pop200_t2,0,51500,-70.31008000000001,-93.45120680000004,-70.31008000000001,183036.0,3588.9411764705883,214200.0,4200.0,0.14549019607843136,0,-1
problem2_3bit_pop200_t2,1,51501,-63.45376000000001,-66.86763620000004,-63.45376000000001,112077.0,2197.5882352941176,214200.0,4200.0,0.476764705882353,0,-1
problem2_3bit_pop200_t2,2,51502,-80.41008000000002,-114.85094280000003,-80.41008000000002,187047.0,3667.5882352941176,214200.0,4200.0,0.12676470588235292,0,-1
problem2_3bit_pop200_t2,3,51503,-86.61156000000001,-98.44284380000005,-53.27756000000001,127932.0,2508.470588235294,214200.0,4200.0,0.40274509803921577,0,-1
problem2_3bit_pop200_t2,4,51504,-69.93248000000003,-75.24414000000003,-58.96212000000002,153069.0,3001.3529411764707,214200.0,4200.0,0.2853921568627451,0,-1
problem2_3bit_pop200_t2,5,51505,-55.033000000000015,-81.31730980000002,-55.033000000000015,96117.0,1884.6470588235295,214200.0,4200.0,0.5512745098039216,0,-1
problem2_3bit_pop200_t2,6,51506,-48.96640000000002,-63.211203000000026,-48.96640000000002,142863.0,2801.235294117647,214200.0,4200.0,0.3330392156862745,0,-1
problem2_3bit_pop200_t2,7,51507,-100.13300000000002,-102.07100880000002,-89.13300000000002,176169.0,3454.294117647059,214200.0,4200.0,0.17754901960784314,0,-1
problem2_3bit_pop200_t2,8,51508,-89.13300000000002,-100.96244440000002,-88.03300000000002,177240.0,3475.294117647059,214200.0,4200.0,0.17254901960784316,0,-1
problem2_3bit_pop200_t2,9,51509,-112.76016000000001,-113.87348620000004,-112.76016000000001,182343.0,3575.3529411764707,214200.0,4200.0,0.14872549019607842,0,-1
