condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
pop300_t2,0,12600,29.0,28.13,29.0,0,-1
pop300_t2,1,12601,26.0,25.83,26.0,0,-1
pop300_t2,2,12602,27.0,26.406666666666666,27.0,0,-1
pop300_t2,3,12603,25.0,24.713333333333335,25.0,0,-1
pop300_t2,4,12604,26.0,25.76,26.0,0,-1
