generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std,execute_calls_mean,execute_calls_std,execute_calls_nominal_mean,execute_calls_nominal_std,fitness_cases_mean,fitness_cases_std,unique_programs_mean,unique_programs_std,duplicate_ratio_mean,duplicate_ratio_std,freq_NOP_mean,freq_NOP_std,freq_X_mean,freq_X_std,freq_+_mean,freq_+_std,freq_-_mean,freq_-_std,freq_*_mean,freq_*_std,freq_1_mean,freq_1_std,freq_-1_mean,freq_-1_std,freq_0_mean,freq_0_std
0,0.0,0.0,4.4,1.577621275493231,0.44800000000000006,0.09531235200352807,1.2566931299080366,0.11470918418109186,17.9,15.737075826072502,200.0,0.0,200.0,0.0,2.0,0.0,100.0,0.0,0.0,0.0,0.1207,0.0073374567531903235,0.12610000000000002,0.003107338983045705,0.12326666666666666,0.005291035978746978,0.12826666666666667,0.0071609365550659,0.12606666666666666,0.005424680681277677,0.12643333333333334,0.007712503876782349,0.12616666666666668,0.007330386613353667,0.123,0.006194382162118373
1,1.0,0.0,5.6,2.6331223544175333,1.202,0.1194245461461848,1.3349381288647362,0.22186129827018028,47.5,27.961282755505575,190.6,4.0055517028799486,200.0,0.0,2.0,0.0,95.3,2.0027758514399743,0.04700000000000001,0.020027758514399707,0.12036666666666666,0.0108564710179212,0.13483333333333333,0.008455037215825115,0.12346666666666666,0.007135721303310447,0.1268,0.010362801470692549,0.12246666666666665,0.00816224370024702,0.12586666666666665,0.009849735222360916,0.1277,0.01160401165200006,0.11850000000000001,0.007505142270059055
2,2.0,0.0,5.0,1.4142135623730951,1.9259999999999997,0.19844954578487248,1.1638763582138836,0.299020294351752,15.7,13.174470261329928,187.6,4.695151163109071,200.0,0.0,2.0,0.0,93.8,2.3475755815545356,0.062,0.023475755815545316,0.12066666666666666,0.015557936325748646,0.14576666666666666,0.006104137435146796,0.12186666666666665,0.012890995996344802,0.1298,0.010717701983283036,0.1149,0.014488011220861283,0.12843333333333334,0.01236587299040447,0.12203333333333333,0.013575986424838796,0.11653333333333334,0.01098393889186602
3,3.0,0.0,6.4,1.837873166945363,2.4379999999999997,0.5267468293423533,1.2926436762977485,0.39371778686917036,35.6,27.252726672960836,188.2,6.562519841239845,200.0,0.0,2.0,0.0,94.1,3.2812599206199224,0.05900000000000002,0.03281259920619922,0.1213,0.021124820110272138,0.15246666666666667,0.011380294860464338,0.12443333333333333,0.017641876387423646,0.1283,0.01596094771158191,0.11156666666666668,0.012720208477210733,0.13006666666666666,0.015797171179801485,0.11726666666666667,0.018477079561873475,0.1146,0.011888161971546674
4,4.0,0.0,6.6,1.6465452046971292,2.96,0.8763053754891107,1.4570124322584592,0.452640122251035,26.2,24.247794859647662,180.2,9.81835016690686,200.0,0.0,2.0,0.0,90.1,4.90917508345343,0.09899999999999999,0.0490917508345343,0.11476666666666666,0.026103332174595713,0.15406666666666666,0.014116621846096149,0.13216666666666668,0.020873664664912337,0.13496666666666665,0.020197451251012768,0.11196666666666666,0.01279124893756337,0.12513333333333335,0.016494817742117647,0.11259999999999999,0.021845020903437123,0.11433333333333333,0.016656293067949784
5,5.0,0.0,7.2,1.6865480854231356,3.492,1.052328634769365,1.5380250263995543,0.5288971945563823,30.8,28.978152690144576,175.6,11.918239989379488,200.0,0.0,2.0,0.0,87.8,5.959119994689744,0.12199999999999997,0.059591199946897454,0.1116,0.029517017481237064,0.15706666666666666,0.017502592400577142,0.13843333333333335,0.030620355530912868,0.14236666666666667,0.03219057833176244,0.10983333333333334,0.013059455682226934,0.11916666666666667,0.0215671503752499,0.10833333333333332,0.026150561214854484,0.1132,0.025520362240549974
6,6.0,0.0,8.0,2.309401076758503,3.978,1.1088111751881933,1.7457187443637494,0.7954496042260591,15.6,19.614053918328846,171.8,9.772978620211502,200.0,0.0,2.0,0.0,85.9,4.886489310105751,0.141,0.048864893101057516,0.10533333333333332,0.03176184526778655,0.15789999999999998,0.021071336800684983,0.14463333333333334,0.0369348609123858,0.14983333333333332,0.04503530850727769,0.10533333333333332,0.01930585531342023,0.11316666666666667,0.021512126927346623,0.10856666666666667,0.028525081015022203,0.11523333333333334,0.031197123165881187
7,7.0,0.0,8.8,2.859681411936962,4.514,1.2252546220638747,2.0121717459556074,1.0645003338958627,42.4,31.457908385650814,168.2,15.098197096195149,200.0,0.0,2.0,0.0,84.1,7.549098548097574,0.159,0.07549098548097573,0.10369999999999999,0.03166586743630793,0.15713333333333335,0.027701762657292905,0.14563333333333334,0.036613243910225024,0.1544,0.04905824203037764,0.10389999999999999,0.02674850866963208,0.10913333333333333,0.019435998165552446,0.1083,0.030569673506133575,0.11779999999999999,0.038299405275336124
8,8.0,0.0,9.6,4.402019738458447,4.922,1.3085173968189259,2.1951335181730784,1.2833588038135122,21.6,23.684031188404848,162.8,18.18912984297062,200.0,0.0,2.0,0.0,81.4,9.09456492148531,0.186,0.09094564921485311,0.10543333333333334,0.03370828011257988,0.15773333333333334,0.031587542473357634,0.14563333333333334,0.03689874366358043,0.15966666666666668,0.05187354043759559,0.10423333333333333,0.03229075088307165,0.10533333333333332,0.0219370592354863,0.10376666666666667,0.03393350432904598,0.1182,0.04217137288917714
9,9.0,0.0,10.4,4.501851470969102,5.446,1.5153158819936596,2.196628182715543,1.5907177369909369,33.1,31.249711109775788,157.4,19.207637369893604,200.0,0.0,2.0,0.0,78.7,9.603818684946802,0.213,0.09603818684946802,0.10933333333333332,0.03687683872795906,0.15873333333333334,0.03386130024557514,0.14696666666666666,0.043757595460603496,0.15963333333333335,0.05486446825171288,0.1031,0.03279643536787963,0.1048,0.022482476029011163,0.101,0.035857399325937636,0.11643333333333335,0.03978617229858685
