condition,run,seed,final_best_fitness,final_mean_fitness,best_of_run_fitness,ideal_found,first_ideal_generation
4bit_L10_15max,0,20000,10.0,9.893333333333333,10.0,1,22
4bit_L10_15max,1,20001,10.0,9.79,10.0,1,14
4bit_L10_15max,2,20002,10.0,9.79,10.0,1,18
4bit_L10_15max,3,20003,10.0,9.89,10.0,1,16
4bit_L10_15max,4,20004,10.0,9.9,10.0,1,15
4bit_L10_15max,5,20005,10.0,9.81,10.0,1,13
4bit_L10_15max,6,20006,10.0,9.796666666666667,10.0,1,16
4bit_L10_15max,7,20007,10.0,9.873333333333333,10.0,1,12
4bit_L10_15max,8,20008,10.0,9.81,10.0,1,17
4bit_L10_15max,9,20009,10.0,9.86,10.0,1,13
