generation,best_fitness,mean_fitness,std_fitness,best_index
0,7.633333333333334,6.503333333333333,0.3700300288114767,10
1,7.833333333333333,6.731166666666667,0.31457338836377535,43
2,7.833333333333333,6.901499999999999,0.2898715711789926,7
3,7.933333333333334,7.058166666666666,0.28707330654962215,161
4,8.0,7.250166666666667,0.2540777986715443,167
5,8.1,7.395166666666666,0.22564469366191126,89
6,8.3,7.495833333333333,0.24328623973509977,164
7,8.433333333333334,7.639666666666667,0.23949924611340404,128
8,8.433333333333334,7.7805,0.24359067442467222,33
9,8.666666666666666,7.9159999999999995,0.24616976978409746,151
10,8.566666666666666,8.048666666666668,0.2285179302471569,167
11,8.633333333333333,8.161666666666667,0.19472915663671037,89
12,8.7,8.277166666666666,0.18377454484594258,95
13,8.8,8.380333333333333,0.16211073033235304,42
14,8.9,8.482666666666667,0.1515827606732813,28
15,8.933333333333334,8.562833333333334,0.16313516890398985,33
16,8.933333333333334,8.6465,0.14817022867859347,34
17,9.066666666666666,8.7285,0.1213991350875288,115
18,9.133333333333333,8.7865,0.1222973380286298,179
19,9.166666666666666,8.8545,0.11935835398775682,64
20,9.2,8.920333333333334,0.10655150032834915,79
21,9.2,8.987333333333334,0.1047515579306047,5
22,9.333333333333334,9.041166666666665,0.10979665548437938,86
23,9.4,9.112166666666667,0.10403938890845352,54
24,9.6,9.163999999999998,0.11941338097363959,39
25,9.6,9.236500000000001,0.10726900246058484,59
26,9.6,9.306500000000002,0.10026063257552538,23
27,9.633333333333333,9.368333333333332,0.10623611020322185,55
28,9.633333333333333,9.418166666666668,0.10348362726108455,10
29,9.733333333333333,9.479166666666666,0.09240235085994507,147
30,9.833333333333334,9.539166666666667,0.09100900443851058,47
31,9.833333333333334,9.591333333333333,0.09799319704278786,28
32,9.933333333333334,9.643833333333331,0.08310485344831953,188
33,9.966666666666667,9.686333333333334,0.08307894505295033,165
34,9.933333333333334,9.725833333333332,0.06987588202583883,13
35,9.933333333333334,9.7625,0.07527265255205431,15
36,10.0,9.804166666666667,0.07086273899432491,23
37,10.0,9.845666666666666,0.0648339760036699,51
38,10.0,9.871833333333335,0.06455811335533272,13
39,10.033333333333333,9.906500000000001,0.05534713683250054,15
40,10.066666666666666,9.928500000000001,0.06345580264159358,21
41,10.133333333333333,9.963333333333335,0.05228129047119355,167
42,10.166666666666666,9.981833333333334,0.04723434484920181,155
43,10.133333333333333,10.008833333333333,0.04465640429372287,188
44,10.166666666666666,10.034666666666666,0.04174525921187524,16
45,10.166666666666666,10.050833333333333,0.05943600667010591,5
46,10.2,10.078999999999999,0.044510922504731446,128
47,10.233333333333333,10.100499999999997,0.06168715875735839,8
48,10.233333333333333,10.130333333333333,0.04786439177509711,17
49,10.3,10.160499999999999,0.04703160875647586,151
50,10.3,10.184666666666667,0.04266666666666668,129
