run,best_of_run_fitness,generation_of_best
0,-100.13300000000002,25
1,-89.13300000000002,31
2,-74.54352000000003,36
3,-89.13300000000002,43
4,-89.13300000000001,20
5,-89.13300000000002,49
6,-89.13300000000002,14
7,-89.13300000000002,21
8,-80.41008000000002,6
9,-56.75876000000001,40
