generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std,execute_calls_mean,execute_calls_std,execute_calls_nominal_mean,execute_calls_nominal_std,fitness_cases_mean,fitness_cases_std,unique_programs_mean,unique_programs_std,duplicate_ratio_mean,duplicate_ratio_std,freq_NOP_mean,freq_NOP_std,freq_X_mean,freq_X_std,freq_+_mean,freq_+_std,freq_-_mean,freq_-_std,freq_*_mean,freq_*_std,freq_1_mean,freq_1_std,freq_-1_mean,freq_-1_std,freq_0_mean,freq_0_std
0,0.0,0.0,-126.25547200000003,9.473581507662717,-155.02360880000003,0.42919615976704967,7.65212846184222,0.55741943170033,71.9,68.56213726734798,4200.0,0.0,4200.0,0.0,21.0,0.0,200.0,0.0,0.0,0.0,0.1247,0.005314666406496807,0.1277,0.004634678728194681,0.12588333333333332,0.005225206003381853,0.12556666666666666,0.0032944022856586735,0.12348333333333335,0.004792258417566898,0.12215000000000001,0.0034555823507357005,0.12393333333333334,0.003464279805082326,0.12658333333333333,0.004536035414759301
1,1.0,0.0,-122.10364800000002,7.6238853635965835,-147.60384036000005,0.46775157242745874,6.629962663435835,0.6786856413296827,56.9,52.02232426778164,3857.7,130.97671548790652,4200.0,0.0,21.0,0.0,183.7,6.23698645180507,0.08149999999999999,0.031184932259025338,0.11915,0.0070028433378746075,0.14311666666666667,0.01106631246644239,0.12776666666666667,0.006352407922965352,0.12526666666666667,0.0040492340382220745,0.12358333333333334,0.008819258528224147,0.12065,0.00552125522497006,0.11674999999999999,0.007692889935229514,0.12371666666666667,0.008081013412795318
2,2.0,0.0,-121.11983600000003,7.768747121811141,-143.20065260000007,0.8232584405554952,7.892934020749253,1.2236190811327847,52.3,53.43750243664712,3794.7,63.42633522441604,4200.0,0.0,21.0,0.0,180.7,3.020301677353145,0.09649999999999997,0.015101508386765739,0.11391666666666667,0.009555959293796271,0.15416666666666667,0.01864449741748533,0.12898333333333334,0.005737815861823864,0.13201666666666667,0.012885643748560445,0.12228333333333334,0.014587549655040482,0.11911666666666668,0.010699039416903013,0.11276666666666665,0.015995987151103605,0.11674999999999999,0.010774125956357513
3,3.0,0.0,-117.42439600000003,10.056074686003043,-138.11620230000003,2.1483028612987285,10.373286935328757,1.6459641554172846,81.0,57.52101065407897,3555.3,106.64379963223368,4200.0,0.0,21.0,0.0,169.3,5.078276172963493,0.15350000000000003,0.025391380864817546,0.10275000000000001,0.017689232618100875,0.16103333333333333,0.032711779129652375,0.1323,0.013921694589629302,0.14236666666666667,0.02511305302225847,0.11901666666666666,0.020792545257173427,0.11865,0.019858985900283385,0.1113,0.02395878663017231,0.11258333333333333,0.01846555853073099
4,4.0,0.0,-111.59236400000002,11.35090844421538,-131.75855358,3.8491012718342943,11.363586099765776,4.389018879806819,66.9,77.0518584389039,3206.7,218.47402591612587,4200.0,0.0,21.0,0.0,152.7,10.403525043625034,0.23650000000000002,0.05201762521812518,0.10073333333333334,0.028028997330586492,0.16713333333333333,0.04627492988436038,0.14048333333333335,0.025536158097301365,0.14908333333333335,0.04384450991153528,0.11515,0.028824870305833954,0.11456666666666666,0.03798742481985906,0.10425,0.03540194683214713,0.1086,0.019572940504686567
5,5.0,0.0,-109.52969600000003,14.181079615659423,-126.56942110000003,5.160937376844914,10.769843450643632,5.985080476518026,74.0,58.568099014926396,2919.0,343.07142113559973,4200.0,0.0,21.0,0.0,139.0,16.336734339790464,0.305,0.0816836716989523,0.09783333333333333,0.03822529057451588,0.16873333333333335,0.05103528191359387,0.14741666666666667,0.027700141506970186,0.1497,0.04967336519581236,0.11073333333333332,0.03292698619298594,0.1152,0.05080650779740624,0.10536666666666668,0.04153421912140268,0.10501666666666667,0.02461549371562954
6,6.0,0.0,-106.95826400000003,14.817109222963387,-123.06061034000001,8.129886902070554,11.547059176849391,7.063966208207111,43.8,55.92812848250471,2820.3,648.7040157113257,4200.0,0.0,21.0,0.0,134.3,30.89066741482504,0.3285,0.1544533370741252,0.10011666666666666,0.04490635317586539,0.17318333333333333,0.05045829777960028,0.15001666666666666,0.032351507874106816,0.149,0.04766239297080775,0.10608333333333334,0.032496747225636495,0.11810000000000001,0.055951433966994646,0.10688333333333333,0.0401455723001758,0.09661666666666666,0.030460159164001365
7,7.0,0.0,-103.66960800000001,15.419739191739342,-119.23645348000002,8.435433396724756,12.615551635144678,7.052577660415835,45.4,40.05329782510632,2576.7,806.6144680081061,4200.0,0.0,21.0,0.0,122.7,38.41021276229077,0.3865,0.19205106381145384,0.10253333333333334,0.048976424159556504,0.17876666666666666,0.04724615080016677,0.15165,0.03907309152705326,0.15433333333333335,0.05140501248557359,0.09858333333333333,0.030374742797264973,0.11603333333333335,0.05986893091486509,0.10363333333333333,0.03810664048932569,0.09446666666666667,0.033048953589082566
8,8.0,0.0,-102.07698400000002,16.27959865510422,-115.04407146000003,10.57657188829721,11.563669374905515,6.258609498382936,32.2,46.42508900248753,2366.7,863.2478786536344,4200.0,0.0,21.0,0.0,112.7,41.10704184064926,0.4365,0.20553520920324633,0.10796666666666668,0.05407966231905679,0.17776666666666668,0.04491770252361535,0.15055000000000002,0.04054033580473273,0.16131666666666666,0.05571130667430109,0.09591666666666668,0.029671061888315472,0.10963333333333333,0.05910321584699761,0.10176666666666667,0.04397012172985505,0.09508333333333333,0.035811685967737567
9,9.0,0.0,-98.80197600000002,18.12237474026404,-111.81090518000003,11.858059354027134,12.200413250378572,6.377077864551247,44.4,61.190413192481934,2093.7,1084.4827799462746,4200.0,0.0,21.0,0.0,99.7,51.6420371402988,0.5015,0.258210185701494,0.11076666666666665,0.05450111563021688,0.17316666666666666,0.04304906761153164,0.1534,0.04326584488176942,0.1631,0.05968912261061216,0.09925,0.03406903394688605,0.10616666666666666,0.05988146727875654,0.10226666666666666,0.04667534310876556,0.09188333333333333,0.03747822824777864
