generation,best_fitness,mean_fitness,std_fitness,best_index
0,7.0,1.8233333333333333,1.2801519007090092,278
1,6.0,2.506666666666667,1.2422917889485097,37
2,6.0,3.223333333333333,1.1916888109830615,27
3,7.0,3.93,1.0700934538627922,53
4,7.0,4.43,1.1247666424641156,15
5,8.0,5.013333333333334,1.0613618086632328,70
6,9.0,5.623333333333333,1.1495458040267712,42
7,9.0,6.203333333333333,1.0592397693104658,148
8,10.0,6.786666666666667,1.0556935582302702,68
9,11.0,7.26,1.1743366922082723,43
10,11.0,7.67,1.1259514495157714,28
11,12.0,8.22,1.06062874434617,56
12,13.0,8.86,1.2276264361224334,1
13,13.0,9.49,1.276675369857193,81
14,13.0,10.11,1.2771974527587084,1
15,15.0,10.79,1.256675508368542,222
16,15.0,11.25,1.2599603168354152,156
17,15.0,11.78,1.1992775603114847,280
18,15.0,12.3,1.1818065267490558,33
19,17.0,12.893333333333333,1.1084323264061826,278
20,17.0,13.41,1.000949549178179,38
21,16.0,13.74,0.9123595782365634,45
22,17.0,14.106666666666667,0.9355687515564469,26
23,18.0,14.43,0.9992163596205444,10
24,18.0,14.816666666666666,1.0722510070977886,3
25,19.0,15.313333333333333,1.1409742425761513,158
26,19.0,15.793333333333333,1.0911563692808754,14
27,20.0,16.293333333333333,1.2002592312589069,134
28,21.0,16.846666666666668,1.1901633874762276,8
29,22.0,17.34,1.2454182697658913,65
30,22.0,17.833333333333332,1.227010821287064,163
31,22.0,18.496666666666666,1.198605671418067,37
32,23.0,19.02,1.2856645493025516,42
33,23.0,19.57,1.2430205147140572,79
34,23.0,20.126666666666665,1.2425600812659143,87
35,23.0,20.566666666666666,1.168569876197207,58
36,23.0,21.076666666666668,1.075851084284231,15
37,23.0,21.496666666666666,0.9848801393514284,6
38,24.0,21.906666666666666,0.9334285665699807,84
39,24.0,22.296666666666667,0.833859833678432,28
40,24.0,22.56,0.7744245175182236,38
41,24.0,22.776666666666667,0.6583734165012707,9
42,24.0,22.94,0.5382688299849188,7
43,24.0,22.973333333333333,0.7252279335185288,0
44,24.0,23.156666666666666,0.6674245691878264,1
45,24.0,23.3,0.714142842854285,3
46,24.0,23.456666666666667,0.7034123178398918,0
47,25.0,23.613333333333333,0.7003491192890078,109
48,25.0,23.776666666666667,0.5716545188213672,264
49,25.0,23.803333333333335,0.5639050353462797,43
50,25.0,23.796666666666667,0.6071701207697523,57
