generation,best_fitness,mean_fitness,std_fitness,best_index
0,7.0,1.75,1.3143439428094916,180
1,7.0,2.395,1.260545516829916,89
2,7.0,3.03,1.352442235365341,11
3,8.0,3.705,1.299220920398067,110
4,8.0,4.55,1.3407087677791922,10
5,8.0,5.24,1.2009995836801943,33
6,9.0,5.84,1.0928860873851403,179
7,9.0,6.495,0.974666609667121,8
8,10.0,7.085,0.8530972980850426,159
9,11.0,7.53,0.9429209935090003,12
10,11.0,7.895,0.8449704136832248,167
11,11.0,8.265,0.8915015423430293,71
12,11.0,8.675,0.8771402396424417,19
13,12.0,9.08,0.8795453370918408,49
14,12.0,9.44,0.8404760555780278,23
15,12.0,9.8,0.8717797887081347,75
16,12.0,10.2,0.9327379053088815,28
17,13.0,10.645,0.8882426470283895,12
18,13.0,11.06,0.9624967532412773,45
19,14.0,11.575,0.9820259670701178,52
20,14.0,12.045,0.9914509569313047,4
21,15.0,12.515,0.9948743639274259,95
22,15.0,13.1,0.916515138991168,4
23,17.0,13.5,0.938083151964686,162
24,17.0,13.965,0.9020947843768968,12
25,17.0,14.41,0.8496469855181032,79
26,17.0,14.84,0.8856635930193811,1
27,17.0,15.255,0.8426001424163184,15
28,17.0,15.615,0.8165629185800688,0
29,18.0,15.985,0.8153373534924057,80
30,18.0,16.375,0.6959705453537527,47
31,18.0,16.675,0.6628536791781426,14
32,18.0,16.9,0.5830951894845301,1
33,18.0,17.045,0.5856406748169051,4
34,19.0,17.185,0.557471972389644,172
35,19.0,17.355,0.5735634228226203,17
36,19.0,17.495,0.6480547816350096,5
37,19.0,17.795,0.5683088948802403,2
38,19.0,17.98,0.5381449618829485,20
39,19.0,18.115,0.5213204388857203,9
40,20.0,18.245,0.628470365252014,130
41,20.0,18.43,0.6671581521648372,188
42,20.0,18.725,0.5825590098865522,23
43,20.0,18.97,0.5469003565550127,8
44,20.0,19.11,0.5548873759602033,4
45,20.0,19.335,0.5502499432076299,0
46,20.0,19.53,0.6075360071633614,0
47,20.0,19.775,0.4736823830374104,0
48,20.0,19.915,0.29626845934051094,0
49,20.0,19.945,0.24894778569009207,0
50,20.0,19.925,0.26339134382131846,0
