condition,encoding,L,objective,ideal_fitness,n_runs,best_of_run_mean,best_of_run_std,final_best_mean,final_best_std,ideal_found_fraction,first_ideal_generation_mean
15bit_L10_15max,15bit,10,15max,10.0,10,0.3,0.4830458915396479,0.2,0.42163702135578396,0.0,
15bit_L30_15max,15bit,30,15max,30.0,10,0.4,0.6992058987801011,0.4,0.6992058987801011,0.0,
4bit_L10_15max,4bit,10,15max,10.0,10,9.9,0.3162277660168379,9.9,0.3162277660168379,0.9,17.22222222222222
4bit_L30_15max,4bit,30,15max,30.0,10,24.8,2.2997584414213783,24.8,2.2997584414213783,0.0,
15bit_L10_soft15max,15bit,10,soft15max,15.0,10,13.959999999999999,0.21186998109427607,13.959999999999999,0.21186998109427607,0.0,
15bit_L30_soft15max,15bit,30,soft15max,15.0,10,11.456666666666667,0.12962433851635405,11.45,0.1307622477326642,0.0,
4bit_L10_soft15max,4bit,10,soft15max,15.0,10,15.0,0.0,15.0,0.0,1.0,23.5
4bit_L30_soft15max,4bit,30,soft15max,15.0,10,14.483333333333334,0.16424161665660508,14.476666666666668,0.1678108870936579,0.0,
