generation,generation_mean,generation_std,best_fitness_mean,best_fitness_std,mean_fitness_mean,mean_fitness_std,std_fitness_mean,std_fitness_std,best_index_mean,best_index_std
0,0.0,0.0,6.333333333333333,0.5773502691896258,1.8616666666666666,0.11514483632943913,1.2791478546924044,0.034765626036776874,64.0,100.50373127401788
1,1.0,0.0,6.333333333333333,0.5773502691896258,2.518333333333333,0.18009256878986804,1.212459928042573,0.04442841811834308,55.333333333333336,35.64173583501979
2,2.0,0.0,6.666666666666667,0.5773502691896257,3.1300000000000003,0.21794494717703375,1.2086051627142278,0.12672940065656668,28.333333333333332,15.821925715074425
3,3.0,0.0,7.333333333333333,1.1547005383792517,3.7833333333333337,0.2278340039005007,1.2224722911731347,0.07757090930793431,89.33333333333333,62.612565299094186
4,4.0,0.0,8.0,0.0,4.508333333333333,0.23528351691806484,1.1974195801029246,0.1697557768654824,67.66666666666667,65.57692683660416
5,5.0,0.0,8.333333333333334,0.5773502691896258,5.1000000000000005,0.37040518354904317,1.197121380940679,0.11467606089337935,85.66666666666667,51.53962876596351
6,6.0,0.0,8.666666666666666,0.5773502691896258,5.656666666666666,0.3843284185866739,1.1209236881548843,0.027751180152892317,103.0,69.39740629158989
7,7.0,0.0,9.0,0.0,6.201666666666667,0.40467064797602215,1.032568237774095,0.0586664427944154,33.333333333333336,39.62743157628732
8,8.0,0.0,10.0,0.0,6.808333333333334,0.4282911782109613,1.0470137720367485,0.17206319114810462,83.33333333333333,72.27954989714127
9,9.0,0.0,10.0,1.0,7.2250000000000005,0.41300726385863984,1.0508514165157432,0.1206418277807652,34.333333333333336,32.80751946327752
10,10.0,0.0,10.333333333333334,0.5773502691896255,7.734999999999999,0.2728094573140749,1.0261811973533435,0.16782647376885396,69.66666666666667,86.63332692061026
11,11.0,0.0,11.0,1.0,8.243333333333332,0.2980911493710156,0.9520244276628894,0.052907784868784974,50.333333333333336,17.925772879665004
12,12.0,0.0,11.666666666666666,0.5773502691896255,8.678333333333335,0.30001388856740197,0.9811750500638566,0.09072365567084725,103.33333333333333,78.04058773057346
13,13.0,0.0,12.0,0.0,9.101666666666667,0.29310123393348725,0.968867960154593,0.08960922764323503,39.0,28.35489375751565
14,14.0,0.0,12.333333333333334,0.5773502691896258,9.553333333333333,0.23180451534284982,0.9579775830691556,0.10207068876748353,68.0,96.70056876771719
15,15.0,0.0,13.0,1.0,9.958333333333334,0.19418633662885065,1.043905540060063,0.15026421778940674,94.33333333333333,82.71235296697425
16,16.0,0.0,13.0,1.0,10.469999999999999,0.24556058315617427,0.993505686426977,0.052627716612936914,45.666666666666664,17.03917055884274
17,17.0,0.0,13.666666666666666,1.1547005383792515,10.921666666666667,0.2559459578374575,0.9774542191777883,0.14022258775714513,73.33333333333333,102.78780731844284
18,18.0,0.0,13.666666666666666,1.1547005383792515,11.466666666666667,0.46263736698772345,0.9891010154753426,0.10871417468972974,82.33333333333333,96.57294307068277
19,19.0,0.0,14.333333333333334,0.5773502691896258,11.946666666666667,0.4591931329335558,0.9500392791346043,0.1897710519339076,63.333333333333336,15.502687938977981
20,20.0,0.0,15.0,1.0,12.409999999999998,0.6064033311254152,0.979686164785226,0.17449219980452593,62.666666666666664,85.68741642349438
21,21.0,0.0,15.666666666666666,1.1547005383792515,12.853333333333333,0.6699689047510584,0.9899884946184487,0.13696412225340804,52.333333333333336,36.950417228136054
22,22.0,0.0,16.0,1.7320508075688772,13.311666666666667,0.5916150212201627,1.0096713321211495,0.13279006604055713,7.0,7.937253933193772
23,23.0,0.0,16.666666666666668,0.5773502691896255,13.736666666666666,0.6245865299006481,0.9791698120641884,0.05210296261512261,86.33333333333333,65.57692683660414
24,24.0,0.0,17.333333333333332,1.5275252316519465,14.178333333333333,0.6517348642917097,1.0087150614066531,0.09369304849911764,59.333333333333336,54.5557818506282
25,25.0,0.0,17.666666666666668,1.1547005383792517,14.638333333333334,0.6531526110591095,1.049790777944444,0.17775399802591782,52.666666666666664,32.036437588054845
26,26.0,0.0,18.0,1.7320508075688772,15.155000000000001,0.6659391864126932,1.0143574640438453,0.17206365888184855,51.0,44.67661580737735
27,27.0,0.0,18.0,1.7320508075688772,15.62,0.84393423914426,1.0009045344946113,0.18292121047650184,11.0,8.717797887081348
28,28.0,0.0,18.333333333333332,1.5275252316519463,16.058333333333334,0.8514742117840868,0.9746610000240902,0.20601311256340177,31.0,27.622454633866266
29,29.0,0.0,19.0,1.7320508075688772,16.533333333333335,0.9584144893172968,0.9085154776607246,0.17797314481785842,90.0,92.40670971309389
30,30.0,0.0,19.666666666666668,1.5275252316519472,16.94666666666667,1.0293727863768967,0.8692633868673928,0.1808224166903661,51.0,12.489995996796797
31,31.0,0.0,19.333333333333332,1.5275252316519463,17.290000000000003,1.0956619004054116,0.8590216042641424,0.1774762663321181,19.333333333333332,21.501937897160182
32,32.0,0.0,19.666666666666668,1.5275252316519472,17.713333333333335,1.1746205060926416,0.8609365588713952,0.24532093754512804,11.333333333333334,13.79613472438325
33,33.0,0.0,20.0,1.7320508075688772,18.08666666666667,1.2795930342625867,0.8958717390026713,0.2957967898481903,17.333333333333332,25.73583752927682
34,34.0,0.0,20.333333333333332,1.154700538379251,18.485,1.3639648089302026,0.8545382513532229,0.31449811678492423,61.333333333333336,95.84014468547787
35,35.0,0.0,20.333333333333332,1.154700538379251,18.855,1.43301256100566,0.7626658601132462,0.24484419275650313,10.333333333333334,7.023769168568492
36,36.0,0.0,20.666666666666668,1.5275252316519472,19.183333333333334,1.5477106749432634,0.6917601297651781,0.16240961886814467,26.0,40.779897008207364
37,37.0,0.0,20.666666666666668,1.5275252316519472,19.445,1.4922382517547244,0.6679566210359732,0.13942176523523117,12.333333333333334,18.77054430040145
38,38.0,0.0,21.0,1.7320508075688772,19.709999999999997,1.5363186518427743,0.5262304486825035,0.20783953502429886,65.33333333333333,40.513372277969324
39,39.0,0.0,21.0,1.7320508075688772,19.900000000000002,1.551523444876036,0.5247977046788505,0.21131979023677633,63.666666666666664,97.29508380865569
40,40.0,0.0,21.666666666666668,1.5275252316519472,20.05666666666667,1.5690469506465787,0.5520444170034826,0.23695029538476528,124.66666666666667,76.14022152143592
41,41.0,0.0,21.666666666666668,1.5275252316519472,20.205000000000002,1.5504757334444175,0.5672937356640902,0.19430446781899255,150.66666666666666,62.93912402737532
42,42.0,0.0,21.666666666666668,1.5275252316519472,20.391666666666666,1.4693394207375419,0.559515170296171,0.22102411930074542,22.333333333333332,4.041451884327381
43,43.0,0.0,21.666666666666668,1.5275252316519472,20.595,1.47522032252813,0.5385669520217696,0.21238163123248516,17.333333333333332,23.437861108329262
44,44.0,0.0,22.0,2.0,20.756666666666664,1.543286536367544,0.5452234383222385,0.1534506547920674,54.0,88.34025130143111
45,45.0,0.0,22.333333333333332,2.5166114784235827,20.941666666666666,1.5443229368669391,0.5878447943553112,0.1977883884965008,9.333333333333334,16.165807537309522
46,46.0,0.0,22.333333333333332,2.5166114784235827,21.141666666666666,1.6001275990786885,0.6427222991571988,0.1653770517608968,28.666666666666668,49.652123150307816
47,47.0,0.0,23.0,3.0,21.423333333333332,1.694227946096198,0.5954652362608474,0.13750174037887536,57.666666666666664,78.4495591659592
48,48.0,0.0,22.666666666666668,2.5166114784235836,21.631666666666664,1.7378746598455657,0.5798418687810715,0.25389488142282823,13.666666666666666,18.717193521821944
49,49.0,0.0,22.666666666666668,2.5166114784235836,21.820000000000004,1.8725050066688744,0.5459614198098509,0.26079530693403485,0.3333333333333333,0.5773502691896258
50,50.0,0.0,23.0,2.6457513110645907,21.986666666666668,2.033127721844676,0.5715012512326805,0.2668416754542305,5.333333333333333,9.237604307034013
